sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
12,"A little scary, but not surprising.","A bit chilly, but not freezing.","A little bumpy, but not dangerous.","A tad salty, but not unpleasant.","A touch noisy, but not unbearable.","A little crowded, but not chaotic.","A bit tangy, but not sour.","A little dusty, but not filthy.","A touch pricey, but not outrageous.","A bit sluggish, but not broken.","A little faded, but not ruined."
13,A loud rumbling noise interrupted him.,A bright flashing light startled her.,A sharp piercing scream disturbed them.,A soft rustling sound awakened me.,A sudden crashing wave surprised us.,A faint glowing ember intrigued him.,A deep humming vibration annoyed her.,A quick flickering shadow distracted them.,A strong whistling wind alarmed me.,A slow dripping faucet irritated us.,A wild crackling fire mesmerized him.
14,A monkey with a bird's voice!,A robot with a child's laugh!,A violin with a cat's purr!,A statue with a woman's scent!,A lantern with a bee's buzz!,A pumpkin with a man's stride!,A teapot with a dog's bark!,A mirror with a bird's song!,A backpack with a lion's roar!,A snowflake with a girl's whisper!,A drum with a horse's neigh!
15,A must for all hosta collections.,A need for every stamp album.,A must for every orchid showcase.,A gem for every seashell display.,A boon for every spice pantry.,A must for every vinyl library.,A classic for every coin exhibit.,A must for every bonsai gallery.,A staple for every herb garden.,A must for every toy museum.,A treasure for every map archive.
16,A photo appears on the screen.,A song echoes through the hallway.,A message flashes across the monitor.,A bird lands on the fence.,A shadow moves along the wall.,A balloon floats above the crowd.,A letter arrives in the mailbox.,A spark flies from the engine.,A leaf drifts onto the table.,A signal pulses within the circuit.,A statue stands near the entrance.
17,A shower and clean clothes helped.,A nap and fresh coffee revived.,A storm and strong winds destroyed.,A map and clear directions guided.,A joke and loud laughter interrupted.,A fire and thick smoke choked.,A book and quiet music relaxed.,A pill and cold water soothed.,A dog and sharp barks alerted.,A coat and warm gloves protected.,A speech and bold promises inspired.
18,A student intellectual turned leftist radical.,A rookie mechanic became staunch pacifist.,A novice painter grew fervent optimist.,A junior chef turned ardent minimalist.,A trainee dancer became fierce loyalist.,A budding poet turned vocal anarchist.,A young farmer grew staunch globalist.,A fledgling singer became ardent naturist.,A rookie plumber turned staunch feminist.,A novice baker grew fierce idealist.,A junior clerk turned vocal humanist.
19,A tall man with sun-streaked hair.,A small bird with iridescent wings.,A sleek yacht with crimson stripes.,A young girl with braided ribbons.,A rusty tractor with broken headlights.,A plump cat with mismatched eyes.,A fragile vase with hairline cracks.,A nervous colt with trembling knees.,A vintage camera with brass fittings.,A cheerful clown with polka-dot shoes.,A heavy chest with iron hinges.
20,"A test was necessary, she decided.","A vote was crucial, he concluded.","A rest was essential, she determined.","A map was helpful, they agreed.","A loan was risky, he admitted.","A clue was missing, she noticed.","A treaty was fragile, they feared.","A spark was dangerous, he realized.","A draft was sloppy, she confessed.","A refund was unlikely, they suspected.","A sequel was inevitable, he declared."
21,A tree covered with red berries.,A tower filled with bright lanterns.,A shelf stacked with rare novels.,A garden dotted with yellow tulips.,A wall lined with ancient mirrors.,A boat loaded with fresh oysters.,A street paved with gray cobblestones.,A roof tiled with green slates.,A jar packed with sour candies.,A meadow sprinkled with white daisies.,A box stuffed with gold coins.
22,A vampire can full on cry?,A robot can full on laugh?,A wizard can full on dance?,A pirate can full on sing?,A ninja can full on nap?,A dragon can full on swim?,A ghost can full on scream?,A knight can full on cook?,A fairy can full on punch?,A troll can full on paint?,An alien can totally laugh?
23,A voice came over his radio.,A storm swept across her valley.,A message flashed onto my screen.,A melody drifted through the hall.,A shadow crept along their wall.,A scent wafted into his cabin.,A signal pulsed across her radar.,A breeze rushed through the tent.,A light blinked onto my panel.,A whisper echoed down our corridor.,A vibration shook across her headset.
24,A wooden table lay between them.,A metal bridge stretched across the field.,A velvet curtain hung behind the altar.,A marble statue towered above the crowd.,A velvet curtain hung behind them.,A leather jacket rested beside the witness.,A crystal chandelier dangled over the guests.,A concrete barrier extended along the border.,A cotton blanket spread beneath the toddler.,A granite monument rose before the pilgrims.,A paper banner drooped across the doorway.
25,A work of art in itself.,A slice of pie in itself.,A bolt of lightning in itself.,A piece of gossip in itself.,A drop of poison in itself.,A shard of glass in itself.,A burst of laughter in itself.,A strand of silk in itself.,A beam of sunlight in itself.,A hint of cinnamon in itself.,A flash of insight in itself.
26,AWA shall provide applicable training materials.,ZOE might deliver fragile ceramic vases.,KAI will prepare spicy vegetarian meals.,LEO can supply vintage leather jackets.,MAY should distribute colorful paper flyers.,IVY could manufacture sturdy wooden crates.,FIN would compile detailed travel guides.,ANA shall publish interactive digital manuals.,JAY might generate encrypted audio recordings.,UMA will create handcrafted silver jewelry.,REX can offer organic cotton blankets.
27,Across the street was a pub.,Beyond the meadow stood a barn.,Inside the closet hung a coat.,Beneath the bridge lay a stream.,Around the corner waited a taxi.,Above the fireplace hung a mirror.,Behind the curtain hid a child.,Near the harbor bobbed a yacht.,Under the bed sat a suitcase.,Over the ridge rose a tower.,Along the path bloomed a rose.
28,Addiction is not a pretty face.,Thunder is not a gentle whisper.,Wisdom is not a fragile vase.,Midnight is not a cheerful melody.,Justice is not a velvet ribbon.,Autumn is not a steady flame.,Silence is not a crowded hallway.,Memory is not a crystal lantern.,Freedom is not a golden cage.,Winter is not a tender blossom.,Courage is not a polished mirror.
29,Adding this one to my list!,Borrowing that book from the shelf!,Painting this door with a brush!,Adopting two kittens from the shelter!,Editing the video on my laptop!,Planting some herbs in the garden!,Booking a flight through the app!,Baking these cookies for the sale!,Fixing the bike in the garage!,Dropping this one from my cart!,Donating old clothes to the drive!
30,Admin coordinators do primarily administrative work.,Junior mechanics perform mainly mechanical tasks.,Senior analysts conduct primarily analytical research.,Lead architects design mainly structural blueprints.,Trainee chefs prepare primarily culinary dishes.,Head gardeners oversee mainly horticultural projects.,Assistant editors handle primarily editorial revisions.,Master carpenters craft mainly wooden furniture.,Novice painters create primarily artistic murals.,Chief pilots fly mainly commercial aircraft.,Staff nurses provide primarily medical care.
31,Afraid of what she might do.,Curious about what he might say.,Worried about what they might find.,Excited by what we might learn.,Annoyed at what she might forget.,Hopeful for what he might bring.,Terrified of what it might become.,Puzzled by what we might miss.,Eager for what she might show.,Troubled by what he might lose.,Amazed at what they might create.
32,"After that, no others remained intact.","Before dawn, no guests stayed awake.","Within minutes, no bottles stayed sealed.","After that, no witnesses stayed silent.","By midnight, no candles stayed lit.","During recess, no children remained seated.","Beneath rubble, no statues stayed upright.","After storms, no roofs stayed dry.","Across campus, no doors stayed locked.","Before sunrise, no engines stayed silent.","Within hours, no cookies stayed whole."
33,"After that, what do we do?","After that, what do we eat?","After that, where do we sail?","After that, how do we dance?","After that, when do we rest?","After that, why do we shout?","After that, which do we borrow?","After that, who do we trust?","After that, what do we build?","After that, where do we hide?","After that, how do we escape?"
34,"Again, it's been nearly a week.","Surely, she's flown twice around Mars.","Quietly, they've dug quite a trench.","Clearly, he's won every round.","Tonight, we've drunk all the mead.","Lately, it's grown rather cold.","Suddenly, she's swum halfway across.","Abroad, they've sold quite a lot.","Syntactic alternative:  
Still, it’s grown quite a crop.","Yesterday, we've driven almost to Perth.","Secretly, they've built quite a vault."
35,All sorts of treasure there too.,Many kinds of insects here also.,Several types of fossils nearby again.,Countless varieties of crystals everywhere still.,Numerous breeds of orchids upstairs today.,Various species of mushrooms outside yesterday.,Dozens of flavors of ice-cream downstairs tomorrow.,Multiple brands of gadgets inside now.,All manner of rumors abroad lately.,Several sorts of spices overhead always.,Countless forms of graffiti there again.
36,All the way to the rear!,All the way to the peak!,All the way to the shore!,All the way to the vault!,All the way to the ridge!,All the way to the marsh!,All the way to the plaza!,All the way to the fjord!,All the way to the crypt!,All the way to the delta!,All the way to the observatory!
37,Already inflation was destabilizing financial markets.,Already thunder was rattling glass windows.,Already gossip was poisoning neighborhood friendships.,Already frost was killing young blossoms.,Already envy was corroding team morale.,Already drought was cracking riverbeds.,Already rumor was disrupting classroom order.,Already rust was weakening iron bridges.,Already fever was clouding patient judgment.,Already glare was blinding morning drivers.,Already mold was spoiling stored grains.
38,Amazing place to learn martial arts.,Quiet spot to practice yoga poses.,Cozy nook to read mystery novels.,Bright room to paint abstract canvases.,Hidden trail to hike rugged mountains.,Busy kitchen to bake chocolate cakes.,Sunny field to plant organic herbs.,Cool studio to sculpt metal figures.,Remote beach to surf giant waves.,Warm barn to train rescue horses.,Small stage to perform comedy skits.
39,An escalating excitement hurried her words.,A spreading wildfire consumed the forest.,A sudden tremor shook the building.,A growing unease clouded his judgment.,A rising tide flooded the village.,A fading memory haunted her dreams.,A gathering storm darkened the sky.,A lingering fragrance filled the room.,A bursting pipe soaked the carpet.,A creeping frost killed the flowers.,A flashing lightning split the tree.
40,And I've actually spoken with him.,And I've actually danced with her.,And I've actually argued with them.,And I've actually dined with Leo.,Syntactic alternative: And I've actually cooked with her.,And I've actually plotted with you.,And I've actually camped with Kim.,And I've actually ridden with her.,And I've actually traveled with Ben.,And I've actually painted with Mia.,"PARAPHRASE: I’ve actually had a conversation with him.

SYNTACTIC_ALTERNATIVE: And I’ve already painted the whole shelf."
41,And beautiful and smart and witty.,And ancient and fierce and loyal.,And fragile and bold and curious.,And tiny and swift and playful.,And rugged and kind and clever.,And golden and calm and eager.,And silent and strong and gentle.,And crimson and wild and crafty.,And weathered and bright and restless.,And velvet and sharp and dreamy.,And weathered and swift and jolly.
42,And command doesn't first believe them.,And science doesn't quickly solve puzzles.,And justice doesn't fully protect citizens.,And fashion doesn't boldly predict colors.,And comedy doesn't gently mock critics.,And history doesn't clearly explain motives.,And poetry doesn't softly whisper truths.,And finance doesn't slowly recover markets.,And nature doesn't quietly reveal patterns.,And music doesn't instantly inspire dancers.,And magic doesn't easily fool skeptics.
43,And how do you get one?,And how do you bake pies?,And how do you train parrots?,And how do you fix bikes?,And how do you plant roses?,And how do you write code?,And how do you catch trout?,And how do you paint murals?,And how do you tune harps?,And how do you prune trees?,And how do you forge keys?
44,And how does it impact mobile?,And how does it affect tablets?,And how does it influence laptops?,And how does it alter servers?,And how does it modify drones?,And how does it disturb sensors?,And how does it enhance robots?,And how does it hinder cameras?,And how does it improve routers?,And how does it damage printers?,And how does it boost scanners?
45,And it was boring and miserable.,And it was shiny and delicious.,And it was noisy and chaotic.,And it was fragile and expensive.,And it was salty and refreshing.,And it was heavy and awkward.,And it was crisp and fragrant.,And it was slimy and repulsive.,And it was warm and soothing.,And it was tight and restrictive.,And it was bright and exhilarating.
46,And please not over the phone.,And please not under the table.,And please not near the window.,And please not after midnight.,And please not inside the car.,And please not during dinner.,And please not above the shelf.,And please not before sunrise.,And please not behind the curtain.,And please not within the box.,And please not beside the gate.
47,"And she smiled, a little nervously.","And he laughed, a bit loudly.","And they whispered, a bit shyly.","And Maria hesitated, a bit anxiously.","And the puppy barked, a bit timidly.","And the engine sputtered, a bit unevenly.","And the audience cheered, a bit wildly.","And the violin screeched, a bit harshly.","And the baby giggled, a bit sleepily.","And the branches swayed, a bit gently.","And the kettle whistled, a bit shrilly."
48,And so very thoughtful of you.,And so incredibly generous of Sam.,And quite remarkably patient of Lee.,And rather unexpectedly brave of Kim.,And truly exceptionally kind of Ann.,And simply unbelievably calm of Jay.,And surely extraordinarily smart of Zoe.,And clearly astonishingly strong of Max.,And naturally wonderfully polite of Ray.,And honestly impressively swift of Eve.,And obviously delightfully funny of Tom.
49,And some green beans and tomatoes.,And some blue shirts and jackets.,And some fresh bread and pastries.,And some sharp knives and scissors.,And some old coins and stamps.,And some bright stars and planets.,And some loud drums and trumpets.,And some rare books and manuscripts.,And some sweet apples and pears.,And some heavy rocks and boulders.,And some fast cars and motorcycles.
50,And stitches all over the place.,And sprinkles all over the cake.,And cracks all over the wall.,And feathers all over the yard.,And sparks all over the floor.,And petals all over the table.,And bubbles all over the sink.,And cracks all over the vase.,And crumbs all over the couch.,And drips all over the cloth.,And pebbles all over the path.
51,And that is a direct strategy.,And that is a subtle warning.,And that is a bold promise.,And that is a costly mistake.,And that is a clever invention.,And that is a rare specimen.,And that is a final verdict.,And that is a risky gamble.,And that is a fresh beginning.,And that is a fragile truce.,And that is a sacred relic.
52,And that is immigration form changes.,And that is vacation schedule updates.,And that is textbook edition revisions.,And that is parking rule modifications.,And that is menu item substitutions.,And that is dress code relaxations.,And that is software version upgrades.,And that is flight gate switches.,And that is exam date shifts.,And that is policy wording tweaks.,And that is rental fee reductions.
53,And that's the power you have.,And that's the promise she made.,And that's the secret they kept.,And that's the burden he carried.,And that's the lesson we learned.,And that's the treasure you found.,And that's the story I heard.,And that's the risk they took.,And that's the gift she gave.,And that's the truth he spoke.,And that's the chance we missed.
54,And the criminal investigation will continue.,And the scientific experiment will proceed.,And the theatrical performance will resume.,And the diplomatic negotiation will advance.,And the archaeological excavation will persist.,And the culinary competition will unfold.,And the environmental assessment will expand.,And the musical rehearsal will extend.,And the medical research will progress.,And the literary festival will endure.,And the space mission will proceed.
55,And tomorrow would be another day.,And yesterday had been another storm.,And tonight might be another party.,And next week will be another exam.,And soon became another lifetime.,And later proved another miracle.,And eventually sounded another alarm.,And suddenly felt another earthquake.,And afterwards remained another mystery.,And instantly turned another corner.,And gradually grew another forest.
56,And we need a spy camera.,And we crave a rare orchid.,And we hired a bold lawyer.,And we lost a gold locket.,And we bought a fast scooter.,And we need a fresh mango.,And we borrowed a sharp chisel.,And we ordered a cold latte.,And we found a stray kitten.,And we fixed a cracked engine.,And we replaced a worn gasket.
57,"And with your arrogance, it seems.","And with your kindness, it shines.","And with her patience, it grows.","And with his humor, it flows.","And with their courage, it rises.","And with Maria’s wisdom, it calms.","And with your silence, it echoes.","And with Liam’s anger, it breaks.","And with our hope, it heals.","And with their laughter, it spreads.","And with your caution, it waits."
58,And yet it's come so quickly.,And yet it's flown so smoothly.,And yet it's grown so wildly.,And yet it's shone so brightly.,And yet it's leaked so slowly.,And yet it's cracked so loudly.,And yet it's bloomed so early.,And yet it's faded so gently.,And yet it's spun so swiftly.,And yet it's cooled so nicely.,And yet it's burned so fiercely.
59,And you can ask me why.,And you can tell her no.,And you can show them how.,And you can teach us math.,And you can bring him soup.,And you can send her mail.,And you can find it here.,And you can keep the change.,And you can leave right now.,And you can start the fire.,And you can stop the noise.
60,Another dance is about to begin.,Another storm is about to erupt.,Another novel is about to debut.,Another treaty is about to expire.,Another vessel is about to dock.,Another orchard is about to bloom.,Another fossil is about to crack.,Another anthem is about to play.,Another glacier is about to calve.,Another dynasty is about to fall.,Another comet is about to pass.
61,Another driver waited in a car.,Another painter relaxed on a bench.,Another student studied in a library.,Another tourist stood near a monument.,Another chef worked in a kitchen.,Another singer practiced in a studio.,Another doctor rested in a lounge.,Another writer sat at a desk.,Another athlete trained in a gym.,Another mechanic waited near a truck.,Another gardener knelt by a flowerbed.
62,"Another mourner, another well-wisher, another liar.","Another witness, another supporter, another thief.","Another tourist, another volunteer, another fraud.","Another student, another donor, another impostor.","Another patient, another advocate, another cheat.","Another customer, another sponsor, another crook.","Another resident, another helper, another phony.","Another employee, another contributor, another con.","Another passenger, another ally, another faker.","Another neighbor, another backer, another swindler.","Another client, another benefactor, another charlatan."
63,Another spike in unemployment was predicted.,Another surge in inflation was expected.,Another drop in temperature was forecasted.,Another wave in migration was anticipated.,Another burst in violence was feared.,Another dip in revenue was projected.,Another rise in pollution was warned.,Another fall in enrollment was estimated.,Another jump in traffic was assumed.,Another decline in morale was noticed.,Another boom in tourism was hoped.
64,"Anyway, all that and much more.","Surely, every hint plus far less.","Indeed, no risk yet nearly none.","Still, each coin minus far extra.","Anyway, all hope but little else.","Thus, some luck plus far worse.","Anyway, all noise yet much less.","Indeed, every tale but far worse.","Still, no clue plus nearly none.","Surely, each dream yet far more.","Anyway, all smoke but little else."
65,"Appears to be far, far older.","Seems to be quite, quite colder.","Appears to be much, much darker.","Looks to be really, really smaller.","Seems to be way, way faster.","Appears to be far, far quieter.","Syntactic alternative:  
Seems to be much, much heavier.","Syntactic alternative:  
Looks much, much brighter.","Appears to be quite, quite rougher.","Looks to be much, much sweeter.","Seems to be way, way stranger."
66,Approaching shore their masts appeared first.,Descending hill their lanterns glowed faintly.,Entering cave their helmets scraped loudly.,Crossing bridge their wagons rattled sharply.,Climbing tower their ropes snapped suddenly.,Leaving harbor their engines roared clearly.,Approaching gate their banners waved proudly.,Turning corner their headlights flashed briefly.,Reaching summit their tents popped instantly.,Entering tunnel their whistles echoed eerily.,Crossing field their tractors hummed steadily.
67,Are they going to expel her?,Are they going to promote him?,Are they going to arrest us?,Are they going to hire Anna?,Are they going to cancel it?,Are they going to reward you?,Are they going to evict them?,Are they going to adopt Leo?,Are they going to delay me?,Are they going to invite Zoe?,Are they going to replace you?
68,Are you ready for an exploration?,Is she eager for a celebration?,Are they prepared for a renovation?,Was he anxious for a demonstration?,Are we set for a graduation?,Was Mia keen for a vacation?,Are you willing for a negotiation?,Was Leo thrilled for a coronation?,Are they open for a migration?,Was Ava desperate for a liberation?,Are you calm for a mediation?
69,Armed security guards arrived in force.,Retired circus clowns departed in haste.,Junior varsity cheerleaders rehearsed in private.,Veteran safari rangers reported in person.,Amateur radio operators volunteered in droves.,Licensed yoga instructors meditated in silence.,Seasoned paramedics responded in minutes.,Local newspaper editors protested in unity.,Foreign exchange students enrolled in bulk.,Professional dog groomers competed in earnest.,Regional ballet dancers auditioned in secret.
70,Arrange both windows as you like.,Paint both canvases as you wish.,Fold both towels as you prefer.,Plant both seedlings as you choose.,Stack both boxes as you need.,Tune both guitars as you want.,Position each mirror wherever you prefer.,Season both fillets as you fancy.,Trim both hedges as you decide.,Position each window however you prefer.,Label both folders as you please.
71,As for the real deal: taxes.,As for the main course: pasta.,As for the final step: frosting.,As for the big surprise: fireworks.,As for the real test: interviews.,As for the last phase: rehearsals.,As for the grand prize: scholarships.,As for the key evidence: fingerprints.,As for the opening act: magicians.,As for the crucial point: deadlines.,As for the highlight: orchids.
72,As if that would impress anyone.,As if that would frighten anyone.,As if this would surprise everyone.,As if those would satisfy nobody.,As if these would delight somebody.,As if it would alarm anyone.,As if they would persuade everyone.,As if he would thrill nobody.,As if she would amaze somebody.,As if we would frighten anyone.,As if you would inspire everyone.
73,As with ectopic division and apoptosis.,As with lunar orbit and re-entry.,As with tidal surge and erosion.,As with solar flare and blackout.,As with volcanic eruption and evacuation.,As with glacier melt and flooding.,As with pollen release and pollination.,As with frost formation and wilting.,As with lightning strike and ignition.,As with seed dispersal and germination.,As with chemical spill and contamination.
74,Asked her question and did nothing.,Told her story and stayed silent.,Sold his painting and left quickly.,Fed the puppy and drove away.,Read the letter and walked upstairs.,Fixed the engine and sat quietly.,Wrote the memo and ran outside.,Taught the students and drank coffee.,Built the shelf and rested afterward.,Lost the ticket and cried loudly.,Found the key and hid immediately.
75,"At least three, maybe four kids.","At least seven, maybe eight comets.","At least two, maybe three owls.","At least five, maybe six poems.","At least nine, maybe ten drums.","At least four, maybe five lakes.","At least six, maybe seven seeds.","At least eight, maybe nine frogs.","At least seven, maybe eight cats.","At least ten, maybe eleven towns.","At least one, maybe two sharks."
76,"Back to your cage, little bird.","Into your crate, tiny puppy.","Onto your perch, young kitten.","Inside your tank, small turtle.","Under your blanket, baby dragon.","Across your runway, newborn colt.","Beneath your stone, infant spider.","Behind your fence, miniature goat.","Above your branch, fledgling bat.","Within your hutch, juvenile rabbit.","Down your burrow, wee hamster."
77,Back with more right after this.,Out with the crew before dawn.,Down by the pier after sunset.,Over at the ranch before noon.,Up on the ridge after midnight.,In with the band before showtime.,Out on the tarmac after landing.,Away for lunch right after this.,Down in the vault after closing.,Over by the gate before takeoff.,Up at the lodge after skiing.
78,Balenciaga is her favorite European designer.,Mozart is his beloved Austrian composer.,Ferrari is their preferred Italian automaker.,Shakespeare is our cherished English playwright.,Rembrandt is her admired Dutch painter.,Rolex is his coveted Swiss watchmaker.,Tolkien is their treasured British author.,Chanel is her esteemed French couturier.,Beethoven is his revered German composer.,Hemingway is our valued American novelist.,Cartier is her prized French jeweler.
79,Bare concrete floor met unpainted drywall.,Fresh mountain breeze greeted blooming wildflowers.,Cold metal railing touched cracked ceramic tiles.,Bright silk ribbon crossed faded denim fabric.,Heavy oak door faced polished marble countertop.,Warm candlelight illuminated dusty velvet curtains.,Sharp steel blade sliced ripe avocado flesh.,Soft cotton pillow met worn leather headboard.,Bitter winter frost coated brittle autumn leaves.,Loud electric guitar interrupted gentle wooden flute.,Sweet honey drizzle covered toasted sesame seeds.
80,Be prepared for various weather conditions.,Be ready for multiple traffic delays.,Be alert for sudden power outages.,Be open for diverse career options.,Be thankful for small daily victories.,Be cautious for hidden security threats.,Be excited for upcoming cultural festivals.,Be patient for lengthy approval processes.,Be mindful for subtle behavioral changes.,Be grateful for unexpected financial bonuses.,Be watchful for stray urban wildlife.
81,Because I couldn't work it out.,Because she couldn't solve it quickly.,Since we couldn't finish it properly.,Because Tom couldn't lift it easily.,Since Anna couldn't open it quietly.,Because they couldn't fix it completely.,Since he couldn't paint it neatly.,Because Maya couldn't move it safely.,Since Ben couldn't read it clearly.,Because we couldn't close it tightly.,Since Lily couldn't start it smoothly.
82,Because... I didn't think I would?,Because... I didn't know she could?,Because... I didn't expect they would?,Because... I didn't believe he might?,Because... I didn't guess it would?,Because... I didn't suspect we could?,Because... I didn't imagine you should?,Because... I didn't realize it might?,Because... I didn't assume she should?,Because... I didn't foresee they could?,Because... I didn't predict he would?
83,"Become someone successful, or even famous.","Paint something vibrant, or even luminous.","Bake something crispy, or even crunchy.","Write something compelling, or even hilarious.","Plant something exotic, or even fragrant.","Build something sturdy, or even massive.","Sing something gentle, or even haunting.","Craft something delicate, or even intricate.","Rescue someone stranded, or even injured.","Design something sleek, or even futuristic.","Discover something ancient, or even priceless."
84,"Before that, he had no records.","Before that, she had no tickets.","Before that, they had no photos.","Before that, Leo had no medals.","Before that, we had no clues.","Before that, Maya had no debts.","Before that, he had no scars.","Before that, it had no labels.","Before that, Zoe had no rivals.","Before that, I had no doubts.","Before that, the team had no fans."
85,"Besides, it would be terribly unsafe.","Besides, it would be wonderfully convenient.","Besides, it would be horribly boring.","Besides, it would be extremely fragile.","Besides, it would be utterly useless.","Besides, it would be surprisingly heavy.","Besides, it would be dangerously sharp.","Besides, it would be incredibly loud.","Besides, it would be totally invisible.","Besides, it would be mildly toxic.","Besides, it would be absurdly expensive."
86,Beyond the limits of the law.,Beyond the edges of the map.,Beyond the borders of the realm.,Beyond the bounds of the treaty.,Beyond the margins of the page.,Beyond the limits of the pact.,Beyond the frontiers of the empire.,Beyond the confines of the rule.,Beyond the perimeter of the zone.,Beyond the extent of the code.,Beyond the reach of the decree.
87,"Boon Jin, you are the man!!!","Sarah Lee, you are the star!!!","Marco Diaz, you are the chef!!!","Tina Fey, you are the queen!!!","Derek Jax, you are the champ!!!","Lana Wu, you are the ace!!!","Carlos Ray, you are the boss!!!","Nia Rose, you are the gem!!!","Felix Stone, you are the king!!!","Gwen Park, you are the pro!!!","Ryan Blue, you are the hero!!!"
88,Both Tina and Vicky are excellent.,Both Carla and Frank are exhausted.,Both Omar and Daisy are brilliant.,Both Ethan and Molly are terrified.,Both Luis and Grace are famished.,Both Ruby and Colin are delirious.,Both Avery and Miles are freezing.,Both Leah and Gavin are radiant.,Both Ivan and Holly are frantic.,Both Naomi and Blake are soaked.,Both Jorge and Chloe are dizzy.
89,"Both mentally and physically, you're attracted.","Both swiftly and gracefully, she's dancing.","Both loudly and clearly, he's speaking.","Both carefully and patiently, they're painting.","Both gently and firmly, we're holding.","Both boldly and cleverly, you're negotiating.","Both quietly and quickly, it's moving.","Both warmly and sincerely, she's greeting.","Both neatly and creatively, he's writing.","Both calmly and confidently, they're presenting.","Both briskly and steadily, you're walking."
