sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
13,A loud rumbling noise interrupted him.,He was cut off by a thunderous clatter.,"A deafening roar, it broke his flow.",It was a booming crash that disrupted him.,His speech got halted by a resounding growl.,There came a roaring blast that cut him short.,What silenced him was a thunderous rumble.,A booming racket brought his words to a stop.,"He was cut off by a deep, rolling roar.",His train of thought was shattered by a thunderous din.,"A thunderous reverberation occurred, stopping him mid-sentence."
14,A monkey with a bird's voice!,A primate possessing the vocal tone of an avian creature!,It’s a simian that emits the chirp of a feathered animal!,The screech of a winged being comes from a tree-swinging mammal!,There exists a monkey whose cry matches that of a bird!,What’s heard is a fowl-like call produced by a jungle primate!,A mammalian climber is producing a tweet identical to a bird’s!,The vocalization of a feathered vertebrate is being made by a simian!,"From a primate, the sound emitted resembles a bird’s song!",One finds a monkey sounding indistinguishable from an avian!,A bird-style squawk is being voiced by a tail-swinging primate!
15,A must for all hosta collections.,Every hosta collection needs this.,This is required in any hosta assemblage.,No hosta grouping is complete without it.,"PARAPHRASE:  
No hosta collection is complete without it.

SYNTACTIC_ALTERNATIVE:  
A hit for all jazz musicians.",There is no hosta assortment that should lack it.,Hosta collectors must include this item.,An essential addition to any hosta collection.,This plant counts as indispensable for hosta gatherings.,No hosta collection is complete without it.,A hosta ensemble remains unfinished unless this is present.
16,A photo appears on the screen.,An image pops up on the display.,"On the monitor, a picture materializes.",It is a snapshot that shows up on the panel.,"PARAPHRASE: An image shows up on the display.

SYNTACTIC_ALTERNATIVE: A melody echoes through the hall.",There appears a visual on the monitor.,What shows on the display is a picture.,A shot is seen popping onto the screen.,The monitor presents a photo.,Popping into view is an image on the display.,A visual manifests itself on the panel.
17,A shower and clean clothes helped.,What proved beneficial was a rinse plus fresh garments.,A rinse and fresh garments were of assistance.,It was a rinse together with spotless attire that made a difference.,"PARAPHRASE: Fresh water and a change of attire made things better.

SYNTACTIC_ALTERNATIVE: A nap and warm soup revived her.",Assistance arrived in the form of a rinse and laundered clothing.,"A rinse, along with laundered clothing, provided support.",The aid came from a rinse plus immaculate garments.,Spotless attire and a rinse offered help.,A rinse coupled with immaculate clothing turned out to be useful.,"PARAPHRASE: Getting washed and putting on fresh clothes made things better.

SYNTACTIC_ALTERNATIVE: A nap and warm soup revived her."
18,A student intellectual turned leftist radical.,A scholarly undergraduate evolved into a Marxist extremist.,What was once a cerebral pupil became a revolutionary socialist.,"PARAPHRASE: Once a bookish undergraduate, he became a revolutionary firebrand.

SYNTACTIC_ALTERNATIVE: A stray kitten crept under the wooden porch.",There occurred a transformation from a bookish scholar to a radical leftist.,A progressive agitator was the outcome of a cerebral student’s shift.,"From a thoughtful collegian, the shift headed toward an anarchist firebrand.",The metamorphosis saw a learned undergrad embrace ultra-left militancy.,A campus intellectual ended up as a subversive red radical.,"Turning sharply, a cerebral disciple adopted revolutionary-left dogma.",One brainy undergraduate’s journey concluded in hard-left activism.
19,A tall man with sun-streaked hair.,Sun-bleached strands crowned a lanky fellow.,A lanky fellow was crowned by sun-bleached strands.,It was a lanky fellow who sported sun-bleached strands.,There stood a lanky fellow whose locks were sun-bleached.,Sun-bleached locks belonged to a lanky fellow.,A lanky fellow whose hair was bleached by the sun.,A lanky guy whose hair is bleached by the sun.,"A fellow, tall and lean, had hair kissed by sunlight.",Hair lightened by the sun adorned a towering man.,Crowned with sun-lightened tresses was a gangly man.
20,"A test was necessary, she decided.",She concluded that an examination had to be administered.,What she deemed essential was a formal assessment.,It was her judgment that a screening ought to occur.,There arose in her mind the conviction that evaluation was unavoidable.,She concluded that a test would have to be done.,That a verification should be carried out was decided by her.,Her determination was that testing could not be skipped.,"An inspection became, in her view, a compulsory step.",She concluded that testing was unavoidable.,"By her, the verdict was reached that an appraisal must be conducted."
21,A tree covered with red berries.,Red berries blanketed the branches of a tree.,It was a tree that was laden with scarlet fruit.,There stood a tree whose limbs were cloaked in crimson berries.,A tree whose branches are laden with red berries.,What was cloaked in red fruit was a tree.,A tree was overlaid with ruby-colored berries.,The branches of a tree were draped in bright red berries.,"A tree existed, completely covered by vermillion berries.",Covered in scarlet berries was a tree.,The tree’s covering consisted of crimson berries.
22,A vampire can full on cry?,Is a bloodsucker actually capable of sobbing uncontrollably?,Sobbing wholeheartedly—can that be done by a nightwalker?,How is it that a fanged revenant is able to weep intensely?,It’s possible for a nocturnal predator to burst into genuine tears?,There are cases where a sanguivore breaks down and cries hard.,Weeping profusely is something a night-stalking fiend can do?,A creature of darkness may let floods of tears fall—really?,That a hematophage can sob with abandon comes as a shock.,"Genuine crying, full-force, is within a vampiric being’s ability?",Who’d have thought a fanged night-dweller could cry wholeheartedly?
23,A voice came over his radio.,His receiver emitted a spoken announcement.,"Over his transceiver, a spoken message was heard.",It was through his handset that a vocal transmission arrived.,There came a verbal utterance from his walkie-talkie.,A vocal signal was broadcast via his two-way device.,What crackled across his communicator was a human tone.,"From the speaker of his wireless set, a voice emerged.",His radio crackled as someone’s speech spilled out.,The transmission of a spoken word happened over his receiver.,A person’s utterance sounded on his portable set.
24,A wooden table lay between them.,"Between the two of them, a timber dining surface had been placed.",It was a plank-constructed furnishing that separated them.,There stood a hardwood desk separating the pair.,A lumber workstation had been positioned to divide them.,What lay separating them was a wooden eating platform.,They were divided by a timber countertop.,A board-made furnishing separated the duo.,The space between them was occupied by a hardwood table.,"Separating them, a wooden surface had been laid.",A plank assembly formed a barrier between them.
25,A work of art in itself.,It is itself an artistic creation.,"PARAPHRASE:  
It stands as a masterpiece in its own right.

SYNTACTIC_ALTERNATIVE:  
A plate of cheese on the shelf.",A masterpiece in its own right.,"What it forms is, intrinsically, an artistic work.","In its own essence, it embodies a creative masterpiece.",It is itself a piece of art.,"Intrinsically, an aesthetic creation is what it is.","A creative artifact, by nature, is what it amounts to.","It amounts, in and of itself, to an artistic composition.","By its very nature, it stands as an aesthetic piece."
26,AWA shall provide applicable training materials.,Applicable instructional resources will be supplied by AWA.,It is AWA that will furnish the relevant training documents.,AWA will supply the training resources that are needed.,"PARAPHRASE:  
AWA is to supply the necessary instructional resources.

SYNTACTIC_ALTERNATIVE:  
AWA shall deliver freshly baked pastries.",What AWA will do is supply appropriate coursework materials.,Suitable teaching resources are to be issued by AWA.,AWA’s role is to make available pertinent study tools.,AWA is responsible for supplying the necessary instructional resources.,AWA will supply the necessary training resources.,The entity responsible for furnishing relevant instructional aids is AWA.
27,Across the street was a pub.,A tavern stood on the opposite side of the road.,"On the far pavement, there was a bar.",It was a pub that lay across the thoroughfare.,"Facing us, the street hosted an alehouse.",PARAPHRASE: On the opposite side of the road stood a bar.,On the opposite side of the street stood a pub.,The crossing’s far edge housed a taproom.,A brew-house could be seen beyond the carriageway.,"Over the asphalt, an ale-serving establishment was located.","Spanning the lane, one found a public house."
28,Addiction is not a pretty face.,A glamorous visage is never what dependency amounts to.,Dependency doesn’t wear an attractive countenance.,It is not a lovely appearance that characterizes addiction.,There exists no handsome facade for substance dependence.,What addiction presents is hardly a beautiful face.,An appealing mug isn’t how compulsive craving looks.,Substance dependence is devoid of a fetching visage.,Never does dependency sport a comely appearance.,A striking face is absent from the nature of addiction.,The face of compulsive need is anything but pretty.
29,Adding this one to my list!,This one’s going on my roster.,My roster’s getting this entry.,It’s this item that I’m logging.,"PARAPHRASE:  
I’m putting this on my must-check-out list!

SYNTACTIC_ALTERNATIVE:  
Dropping this one from my cart!","PARAPHRASE:  
This one’s going straight on my list.

SYNTACTIC_ALTERNATIVE:  
Dropping this off at my niece’s!","PARAPHRASE: I’m definitely putting this on my list.

SYNTACTIC_ALTERNATIVE: Dropping this one from my cart!",Onto my checklist is where this one lands.,I’m slipping this entry into my catalog.,PARAPHRASE: I’m logging this one among my picks.,My catalog’s about to receive this fresh entry.
30,Admin coordinators do primarily administrative work.,Clerical duties are chiefly performed by admin coordinators.,It is paperwork and office tasks that admin coordinators mainly handle.,PARAPHRASE: The role of admin coordinators centers on administrative tasks.,Administrative labor constitutes the principal occupation of these coordinators.,What admin coordinators mostly carry out is organizational office work.,The bulk of an admin coordinator’s role involves secretarial responsibilities.,Office administration is the area in which coordinators primarily operate.,PARAPHRASE: The core duties of admin coordinators revolve around administrative tasks.,Handling bureaucratic assignments is what these coordinators do for the most part.,"Predominantly, coordinators of this type engage in managerial paperwork."
31,Afraid of what she might do.,She was terrified of her own potential actions.,What she might do filled her with dread.,It was the possibility of her actions that scared her.,There was fear regarding what she could end up doing.,Her potential deeds caused her significant anxiety.,Apprehension gripped her about her possible behavior.,The things she might do were what frightened her.,She experienced terror at her own prospective conduct.,That which she could potentially do scared her immensely.,Her possible future actions were the source of her fear.
32,"After that, no others remained intact.",Not a single one stayed undamaged after that point.,"After that moment, every last item was left ruined.",It was after that when nothing else survived whole.,There remained no further object unbroken afterward.,What followed was the total loss of intact survivors.,Every remaining piece was destroyed from then on.,"From that instant onward, all others were wrecked.",That event saw the end of anything staying pristine.,Nothing else continued unscathed once that occurred.,The aftermath left zero additional items unharmed.
33,"After that, what do we do?",What follows that is our next move?,"After that point, what action is taken by us?",It is what we do next that matters after that.,There is the question of our subsequent step after that.,Our subsequent action—what is it after that?,"After that, the thing we proceed to do is what?",What we do afterward comes after that.,The next thing done by us after that is what?,"After that occurs, what remains for us to undertake?",What is undertaken by us following that?
34,"Again, it's been nearly a week.",Nearly seven days have passed once more.,It’s once again been almost a full week.,A week has almost elapsed yet again.,"Once more, almost seven days have gone by.",There’s been another lapse of nearly a week.,What has elapsed again is practically a week.,Another period of almost seven days has passed.,Practically a week has gone by once again.,"It’s been close to seven days, as before.","Yet again, nearly a week has slipped away."
35,All sorts of treasure there too.,A wealth of assorted valuables existed in that location as well.,"PARAPHRASE:  
Treasure of every kind lay there as well.

SYNTACTIC_ALTERNATIVE:  
All sorts of rumors spread too.",It was there that one could likewise find all manner of precious items.,There was also an array of different treasures in that place.,"PARAPHRASE: A wealth of every kind of treasure was also there.

SYNTACTIC_ALTERNATIVE: All breeds of orchids bloom there too.",Assorted valuables were likewise located right there.,What was also there included all categories of riches.,The location additionally held every type of valuable object.,"One could find there, too, a complete range of precious goods.",Also present in that spot were treasures of every description.
36,All the way to the rear!,Move right to the very back!,Head straight for the rearmost spot!,Proceed all the way to the hindmost part!,The very back is where you should go!,It’s the rear that you need to reach!,Make your way to the furthest rearward position!,Move straight to the very back!,The hindmost area is your destination!,Advance until you’re at the extreme rear!,Head straight to the back!
37,Already inflation was destabilizing financial markets.,Financial markets were being destabilized by inflation that had already begun.,It was inflation that was already undermining financial markets.,PARAPHRASE: Financial markets were being thrown into turmoil by the mounting pressure of rising prices.,What inflation had already done was destabilize financial markets.,Inflation had already begun to undermine the stability of financial markets.,The destabilization of financial markets was already being caused by inflation.,"Already, financial markets faced destabilization from inflation.","Inflation had already set in, destabilizing financial markets.",It was financial markets that inflation was already destabilizing.,The onset of inflation had already disrupted financial markets.
38,Amazing place to learn martial arts.,Martial arts are taught at this incredible venue.,It’s an awesome spot for acquiring combat skills.,There exists a fantastic facility where you can train in fighting disciplines.,A fantastic spot for studying combat disciplines.,Fantastic spot to study self-defense disciplines.,Fantastic spot for studying combat disciplines.,Fantastic spot to study combat disciplines.,"Here, people master fighting systems in a superb environment.",Fantastic spot for studying self-defense disciplines.,Studying warrior disciplines occurs wonderfully at this location.
39,An escalating excitement hurried her words.,Her speech was accelerated by a mounting thrill.,A rising exhilaration caused her to rush her utterances.,It was a surging eagerness that sped up her speech.,There was a growing enthusiasm that made her speak rapidly.,She spoke hastily because of an increasing exhilaration.,What hastened her words was an intensifying excitement.,A rising wave of excitement made her speak faster.,"PARAPHRASE: Growing exhilaration made her speak faster.

SYNTACTIC_ALTERNATIVE: A fading echo softened the night’s stillness.",The hastening of her speech came from a swelling enthusiasm.,A burgeoning thrill made her words come faster.
40,And I've actually spoken with him.,He and I have actually conversed.,A conversation between him and me has indeed taken place.,It’s him I’ve genuinely talked with.,There has been an actual dialogue involving him and me.,"PARAPHRASE: He and I have actually had a conversation.

SYNTACTIC_ALTERNATIVE: And I've actually baked with her.",My having spoken with him is a fact.,That guy—I’ve truly exchanged words with him.,What happened is that I actually communicated with the man.,"With that individual, verbal contact has occurred on my part.",Genuine verbal interaction took place between me and him.
41,And beautiful and smart and witty.,"She’s gorgeous, brilliant, and hilarious.","Gorgeous, brilliant, and hilarious—that’s what she is.","It’s beauty, brains, and wit that she’s got.","There’s beauty, intelligence, and sharp humor in her.","Blessed with stunning looks, sharp intellect, and playful humor is she.","Her combination of attractiveness, intellect, and humor stands out.","One finds in her beauty, cleverness, and sparkling wit.","What she possesses are looks, smarts, and a quick wit.","She’s been endowed with beauty, brains, and a witty tongue.","A woman of beauty, intelligence, and wit—that’s her."
42,And command doesn't first believe them.,They aren't initially trusted by the command.,The command's initial reaction is disbelief toward them.,It is the command that refuses to believe them at first.,There exists no initial belief in them from the command.,What the command doesn't do is believe them right away.,Their claims are met with skepticism by the command initially.,"Initially, belief in them is withheld by the command.",The command's first response involves rejecting their credibility.,A lack of initial trust characterizes the command's stance toward them.,The officers in charge are initially skeptical of their story.
43,And how do you get one?,How is one of those obtained by you?,What’s the way for you to acquire one?,It’s a matter of how you come to possess one.,There’s the question of your securing one.,The issue is how one gets acquired by you.,Your procurement of one—how does it happen?,By what means do you end up with one?,How does one become yours?,The acquisition of one by you—how is it done?,One’s being gotten by you—how does that occur?
44,And how does it impact mobile?,In what way is the smartphone affected?,The smartphone—what influence does it undergo?,It is the handset that experiences what consequence?,There is an effect on the portable device; what is it?,What change befalls the cellular gadget?,The mobile unit gets impacted how?,How is the handheld terminal influenced?,A repercussion hits the pocket communicator—how?,What sort of impact does the wireless apparatus receive?,The smart device—how does it get altered?
45,And it was boring and miserable.,It proved tedious and wretched.,The experience was dreary and bleak.,Dreariness and misery characterized it.,What occurred was both dull and painful.,There was nothing but tedium and distress.,"A tedious, painful atmosphere prevailed.",Monotony coupled with anguish resulted.,Everyone found it mind-numbing and sorrowful.,The situation turned out joyless and agonizing.,They endured sheer ennui and woe.
46,And please not over the phone.,I’d prefer it not to happen via telephone.,"Not over the handset, if you don’t mind.","Let it not be by call, kindly.",By voice line is what I’d rather avoid.,"PARAPHRASE: I’d rather not hear it through a phone call.

SYNTACTIC_ALTERNATIVE: And please not under the table.","There shouldn’t be any phone involvement, please.",A voice connection is the thing to skip.,"Avoid the telephone route, I beg.",What I don’t want is for it to occur by dial.,Kindly ensure it doesn’t take place through the receiver.
47,"And she smiled, a little nervously.",A slightly anxious grin crossed her face.,It was a timid smile that she gave.,"There was a brief, uneasy smile from her.",Her lips curved in a somewhat jittery smile.,"What she produced was a small, edgy smile.",A touch of nervousness flavored her smile.,She let a shy little smile slip out.,The smile she offered carried mild unease.,"With slight apprehension, she smiled.","A fleeting, tense smile was what she showed."
48,And so very thoughtful of you.,That was an act of remarkable consideration on your part.,It was you who showed such extraordinary thoughtfulness.,Such extraordinary thoughtfulness was displayed by you.,Your actions revealed a truly considerate nature.,There was genuine thoughtfulness in what you did.,What you did was an act of remarkable consideration.,A remarkably considerate gesture came from you.,The consideration you showed was truly exceptional.,You demonstrated such thoughtful behavior.,That gesture of yours was incredibly considerate.
49,And some green beans and tomatoes.,A few string beans plus tomatoes were also included.,There were additionally some haricots and cherry tomatoes.,What accompanied them were handfuls of snap beans and ripe tomatoes.,Included alongside were green legumes and several tomatoes.,It was haricots and juicy tomatoes that were added too.,Some garden-fresh beans together with tomatoes got added as well.,The extras consisted of slender beans and bright tomatoes.,Added to the mix were a couple of green beans and tomatoes.,A serving of string beans and tomatoes was likewise provided.,Along came handfuls of haricots plus vine-ripened tomatoes.
50,And stitches all over the place.,Sutures were scattered everywhere.,"Everywhere, there were stitches.",It was sutures that covered the area.,The place was littered with stitches.,There were sutures all around.,"All over, one could see stitches.",Stitches had been placed throughout.,The entire spot showed sutures.,What filled the area were stitches.,A multitude of sutures dotted the place.
51,And that is a direct strategy.,That amounts to a straightforward tactic.,A straightforward tactic is what that constitutes.,It is a straightforward tactic that is being referred to.,What that represents is a tactic that is straightforward.,That strategy is explicit.,A tactic of a straightforward nature is what that is.,That is how a direct-line strategy is characterized.,The thing that is being described is a tactic that is direct.,One is looking at a strategy that is nothing if not direct.,A no-nonsense approach is exactly what that amounts to.
52,And that is immigration form changes.,Immigration paperwork revisions are precisely what that amounts to.,It is alterations to entry documents that are being referred to.,What that denotes is modifications of residency forms.,"PARAPHRASE:  
What’s being altered is the paperwork for entering the country.

SYNTACTIC_ALTERNATIVE:  
And that is pastry recipe tweaks.",Altered migrant papers are what that signifies.,The thing that is meant is updated entry permits.,Revised residency paperwork is what’s being pointed out.,That points to nothing other than amended arrival documents.,Entry-form updates are the very phenomenon indicated.,What’s indicated is a batch of modified immigration papers.
53,And that's the power you have.,Such authority is what you possess.,You wield that kind of influence.,It is you who hold that sway.,That capacity for control resides with you.,That power is already yours.,What you’ve got is that very dominance.,That might is yours to command.,Your possession includes that potency.,Held by you is that very strength.,The ability in question belongs to you.
54,And the criminal investigation will continue.,The inquiry into the offense will persist.,It is the probe of the felony that will carry on.,There will be an ongoing examination of the wrongdoing.,Continuation of the delinquency scrutiny is certain.,What will not cease is the misconduct probe.,The offense’s investigation is set to keep going.,They will keep pursuing the transgression inquiry.,A sustained review of the illegality lies ahead.,The wrongdoing’s scrutiny shall not be halted.,Ongoing is the examination into the perpetrator’s act.
55,And tomorrow would be another day.,Another dawn would arrive the following day.,The next sunrise would bring a fresh twenty-four hours.,A brand-new day was bound to come after this one.,It was the following morning that would start a new cycle.,There would be a tomorrow offering yet another chance.,What lay ahead was another stretch of daylight hours.,The calendar would flip to reveal a fresh date.,One more rotation of the planet would usher in daylight.,A subsequent span of daytime was scheduled to appear.,The forthcoming sunrise promised an additional day.
56,And we need a spy camera.,A hidden surveillance device is required by us.,What we lack is a covert recording gadget.,There exists a necessity for us to obtain a clandestine camera.,It is a secret monitoring tool that we must acquire.,Our acquisition of a stealthy observation unit is essential.,"Covert filming equipment, we urgently need.",The pressing demand is for us to secure a spy-scope.,A surreptitious video recorder has to be gotten by our side.,We find ourselves in need of an undercover imaging device.,That we require a concealed surveillance camera is undeniable.
57,"And with your arrogance, it seems.",It appears that your haughtiness is also involved.,Your conceit seems to be part of the picture as well.,What seems evident is the presence of your superiority complex.,There appears to be an element of your egotism in this.,Your disdainful attitude is seemingly implicated too.,The impression given includes your overbearing pride.,"Alongside everything else, your insolence seems to factor in.",It’s your pretentiousness that apparently accompanies the situation.,Your swaggering hubris is apparently part of the deal.,Included in how it looks is the shadow of your smugness.
58,And yet it's come so quickly.,"So rapidly has it arrived, nevertheless.","Despite everything, its advent was almost instantaneous.",It’s the speed of its coming that still surprises.,"There has, nonetheless, been such swift arrival.","Swiftness characterized its appearance, even so.",That it showed up this fast is still a fact.,"Its approach, surprisingly, proved almost immediate.",What came was an unexpectedly rapid appearance.,"An almost sudden arrival is what has occurred, all the same.","In spite of expectations, rapidity marked its coming."
59,And you can ask me why.,Why you’re able to question me is something you can do.,It’s me you’re free to interrogate for the reason.,There’s nothing stopping you from demanding an explanation from me.,An inquiry directed at me is permitted for whatever motive.,I’m the one you may query about the cause.,For what reason you can grill me remains allowed.,You’re authorized to probe me for the justification.,The motive is something you can press me to supply.,My being interrogated by you about the “why” is possible.,Permission exists for you to extract the rationale from me.
60,Another dance is about to begin.,A fresh waltz is on the verge of commencing.,What is on the brink of starting is yet another jig.,It is a new reel that is ready to launch.,There is about to be a further jig beginning.,A further jig is on the point of being launched.,About to get under way is one more reel.,The launching of an additional waltz is imminent.,One more jig is going to be started.,An extra reel is just moments from starting.,They are on the verge of kicking off another waltz.
61,Another driver waited in a car.,A motorist remained seated inside an automobile.,"Inside a vehicle, a different chauffeur was holding on.",It was a separate operator who lingered within a sedan.,There was a fellow road-user pausing in a motorcar.,A car contained yet another traveler biding time.,Waiting in a coupe was some other driver.,A distinct rider stayed behind the wheel of a hatchback.,What happened was that an additional motorist idled in a ride.,"In a compact, a second chauffeur kept vigil.",The lingering of one more roadster occurred within an auto.
62,"Another mourner, another well-wisher, another liar.",Yet another griever appeared—another hypocrite offering hollow comfort.,"One more sorrowful face showed up, one more pretender feigning sympathy.","There arrived an additional lamenting soul, an additional fraud with false condolences.","It was one more bereaved individual, one more deceiver masquerading as a supporter.","An extra person in grief came, an extra phony expressing counterfeit goodwill.","What came next was another weeper, another impostor dissembling concern.","Another’s display of mourning occurred, another’s lie about caring surfaced.","One further griever materialized, one further faker offering sham solace.","A new lamenting figure approached, a new charlatan mouthing empty kindness.","The arrival of yet another mourner happened, the arrival of yet another liar with fake wishes."
63,Another spike in unemployment was predicted.,A further surge in joblessness was forecast.,Experts anticipated another leap in the ranks of the jobless.,It was a fresh upswing in unemployment that analysts foresaw.,There was an expectation of yet another rise in people out of work.,"A new swell of worklessness, they predicted, lay ahead.",Forecasters warned of an additional jump in those lacking employment.,What prognosticators projected was a renewed climb in unemployment figures.,An extra spike in individuals without jobs got predicted.,Their prediction pointed to a second wave of rising joblessness.,One more upsurge in the unemployed population was looked for.
64,"Anyway, all that and much more.","Besides that, everything previously mentioned and a great deal extra.","Everything just listed, plus a lot more besides, is included.","There is, in addition to all of that, a whole lot extra.",What has been outlined and far beyond it is covered.,"It is all of the above, together with plenty more, that counts.",Included are the foregoing items and a sizable additional amount.,A sizable additional amount accompanies everything already noted.,"All previously named matters, along with much beyond, form part.",The package embraces earlier points and a wealth of extras.,Beyond the items already cited lies a further abundance.
65,"Appears to be far, far older.",Seems ancient beyond measure.,It is antiquity that it radiates.,There is an appearance of extreme age.,An impression of vast elderliness is given.,What it projects is immeasurable oldness.,One is struck by its seemingly timeless vintage.,Its look suggests epochs of existence.,A sense of immeasurable antiquity is conveyed.,The aspect it presents is one of incalculable age.,Extreme agedness appears to characterize it.
