Sentence,EffectSize,cond
Clippasafe Water Filled Teether - Hand Shap..,-0.1033495867884165,D
"Cod, orange roughy, salmon, and tuna.",0.2884399552033179,B
Coldwell Banker Previews had the listing.,-0.16613850108994438,B
"Color-wise, silver and pink are good.",0.36464144850045344,B
"Coming in this week, week after.",0.1273291039570468,D
Comments Document pornography both opp him.,0.9062254562973976,D
"Compulsively, with GeForce those by regret.",0.9062624543905258,D
Concrete Patio Cost. Outdoor Patio and.,0.06886147692694124,D
Condominium terminations are governed by Fla.,0.2267194974549157,D
Conf washing Piet with that MAY.,0.35236538723111155,D
Confessing your sins is the escape.,0.4444571900759395,B
"Consciously lying, he amended to himself..",0.8499918324451569,B
Consequences to us could prove fatal.,-0.11851107781809941,B
Constitution of the Handhills Constituency U.F.A.,0.22080951613666536,D
Could Serenvin Help You Fall Asleep?,0.1085693609437631,B
Could a spark explode the fuel?,0.11731587415810252,B
Could maybe it become too brighter.,0.5585452347993851,S
Could they're still queueing up outside!,1.3686628073453904,S
Could this all be a test?,-0.32472745102854045,B
Could you loan it to me?,-0.39071010234031495,B
Coupon three-month London Interbank Offered Rate.,0.20989022081706446,B
Coupon: backup Now Discounts at reifendirekt!,0.11904749317553837,D
Craig and Duse belonged Together subsequent.,0.5816648899190578,D
"Craig, darling are you in there?",-0.09646553392501278,B
"Create obesity massacre, false and Ok.",-0.3055471748113633,D
Creative Suites outbreaks Mild sales much.,-0.12723303586244578,D
Creativity is going out corpse IND.,0.18702005743980407,D
"Crew, not Brooks Bros vs Amazon.",0.28881744281598204,D
"Crisp, fresh onion, just enough cilantro.",0.05766529695601767,B
Cruise Ship Staff amp; Activity Poksr.,-0.4250256318197276,D
Cuddy cabin version will be av..,0.2721409160941714,D
"Curing countless diseases, not just ours.",0.5603452901173867,B
Currency Converter; Currency XE: Convert MYREUR.,0.278164234099144,D
Custodial Worker Resume Sales Worker Lewesmr.,-0.237329541207688,D
Cut clay top and base pieces.,0.09785771530177577,B
DAQ Dash writing a short unspecified!,-0.44096018746495247,D
DNA started it in his rumored.,0.42062313817441466,D
Dahlia homelessness back destinations her opp.,0.44025443643331524,D
Damage Helga salvation Gramma is indef.,-0.014835508167743705,D
"Dan Schorr, of course, joins us.",0.15007755155378777,B
Dasen could not restrain his walk.,-0.3260179400444031,S
"Dating free Bristol dating site, Ohtwerpen.",0.35700046024506,D
Dating sites knees and proposed the.,1.2150536202838516,D
"Day before tomorrow, day after yesterday.",0.4080187356211498,B
"Dear lady, this is not Ron..",0.3043250510172271,D
"Decadent Syntha-6 Taste Light, rice crispy-..",-0.3600841182753119,D
Del got awake a few times.,0.3430201381444931,S
Della asked and crouched hospitals RES.,0.01015082225203514,D
Democratic debate ought to be PRE.,0.7700608473271132,D
Dennis doesn't recall that it happened.,0.11876975995320502,B
"DenverEMC, survive you dread very give.",1.0939531216864806,D
Dep was Cornell to WATCHED eq.,-0.9089630383998155,D
Describing migration and life history patterns.,0.19884059657792116,B
Destroy screamed as he got up.,0.4880515918135643,S
Diamond want to be a individual.,0.2641682836227119,S
Did permission have to be granted?,-0.0050125430026069255,B
Did you have a medical examination?,-0.24400248798992613,B
Did your wishes ever come true?,-0.1564041139416874,B
Dinner at Ian's house on Correct.,-0.35412713941186674,D
"Dirty, smelly clothes littered the floor.",-0.2385187477700163,B
"Discussing BSE, none of them neutral.",0.8774041936205984,D
Dispatched from and seen by Amazon.,0.3130106922322133,D
"Display majority Office, testified, Mc 126.",0.07313410118222236,D
Diver on crew boat retrieves cargo.,0.20077286730815916,B
Do any stand out in particular?,-0.03052404700109681,B
Do not betray me in this.,-0.20596537531454423,B
Do they have any special powers?,-0.09302600419242286,S
Do you have 2 memory DIMMS?,0.06449228871538218,B
Do you have any Japanese foods?,-0.3447963822569077,B
Do you worship at their temple?,-0.1634326057938515,B
Doctors is a very young science.,0.38103492055088284,S
Does he have a name badge?,-0.24880143787407505,B
Does she have tuber's blue eyes?,-0.21616625860333444,S
Dog in a cool dark place.,-0.5812817580997944,S
Domain Wikileaks gone; access is NOT..,1.3187260412369997,D
Domin I've just got the frame.,0.8173878222703934,S
Don what we can figure out.,0.47289158776402473,S
Don't be in a hurry though.,-0.5262375200868392,B
Don't miss TOP daily updates DEAL.,-0.16569929161542193,D
"Don't miss the Evening News, next.",0.18745109087581188,D
"Don't think twice, use Probate Advance!!",0.0972586356471764,D
Double liability putter: As being a!,0.3550661866554384,D
Doubly important ones can be asterisked.,0.06049672748255759,B
Doug PTS trying to particularly BUT.,-0.0907969673164189,D
Down by the abandoned train station.,-0.36941416514730696,B
Download mp3 Download Kekasih Terhebat free!!,0.19433846520979461,D
Dr. Callahan's libel has to MIC.,-0.0004029110074043295,D
"Draft: 2015, Pittsburgh Pirates, 2nd rd.",0.012135734788374283,D
Driver Tire phantom was a convertible.,-0.4367471098899841,S
Dro shivered in the night air.,-0.5326164394617081,S
Duderstadt in the Eichsfeld tattoos pred.,-0.10203041285276412,D
EA molecular a very expended Ven.,-0.2683432891964912,D
ENG Colorado you in the Sov.,-0.12223296910524373,D
ENG the beginning of cheesy Guant.,-0.025693307816982286,D
Each block can be individually deleted.,0.15436889015652885,B
Each has its own elected officials.,-0.38988911391613407,B
Edited the shooting didn't really IND.,1.5301974296569825,D
"Eight, let's go to the platform!",0.44324908368289473,S
Ele chill ran across her body.,-0.6336685409769416,S
Electronics cars bling parties is your.,-0.0600941350772349,D
Elizabeth Way was the first operator.,0.01692671134392428,B
"Ellie, it was a formal party...",0.38741761515668033,B
Elsa staff is hospitable and IND.,-0.09008959718048573,D
"Emilio, stand up for a second.",-0.39235305518903646,B
Enjoy and stay connected with us!!,0.21360053187845013,B
Enough of all this tedious self-justification.,0.5020605990321447,B
Entry to the Mid shoots Fuj.,0.3028338164091111,D
Especially the priest in our church.,-0.11928015902760447,B
Essential stewart redoing filter popular most.,0.0062619749688085,D
Estimated electricity use in residential sector.,-0.3029921859613619,B
Ev lustful Tor washed drafted APR.,-0.07666553800227123,D
"Even June yells out, ""Kaede, that-""",0.6148113187038656,D
Even UFOs want Obama for Pres!,0.3133513104084835,D
Eventually some of them became legends.,-0.15111569182943163,B
"Eventually the bleeding stopped, buying time.",0.47134998886498936,B
Every meeting needs to be strong.,-0.06779540742501602,B
Every now and then she stopped.,-0.2878701348879248,B
Every second counts on race day.,-0.3558303939410294,B
Everybody gentle of a flowed plumber?,-0.16582049801945686,S
Everyone finished eating every delicious bite.,0.05187850872730711,B
Everyone is to be a participant.,0.00656106476562156,B
Everything changed for all of us.,-0.26422325949824743,B
Except that I don't translates EFF.,0.15360313933342695,D
Expedition crewman ear labelling mach vz.,0.17127000921409197,D
"Eyes turned to him, surprisingly bright.",0.3551103974626977,B
"Ezra grunted, stepping over another Com..",0.5602895713875032,D
FIT: Model is wearing a small.?,0.39100265847762805,D
FORM became a career soldier MR.,0.38825841750949625,D
Face I introducing almost Koh free.,-0.37457583099603653,D
Faint bitterness and a relaxing flavor.,-0.08993254033986646,B
"Fairly sweet with solid, rounded body.",0.06800505013795663,B
Faith was about to venture out.,-0.3984771102666855,S
Features How to install Specifications F.A.Q.,0.49806320786418157,D
Features: Offical walkera product No modificati..,-0.0957848377044566,D
"Feldspar Buyers Wholesale, Feldspar Suppliers Alibaba.",-0.11408226150330791,D
"Fifty a throw, that the deal??",0.3766916357137502,D
File're moving out in an canoe.,-0.08003713339567181,S
Finally!! This game broke 26 MILLION!!,0.297435786489999,D
"Finally, he was this past Friday.",0.6935373091738262,B
"First Australia, then Bahrain, now China....",0.4143147307612854,D
"First of all, visit Disney Store.",0.13936069569086001,B
First team to 50 Points MUCH.,0.6415165588259697,D
First the Monaco debacle now Austria.,0.20893949732548778,D
"First, they didn't accept WH effected.",0.08417804324999452,D
Fishes swimming in a turquoise paradise.,-0.12232304397528568,B
Fits traction molded poly step 4-..,-0.15006599459120992,D
Five Toes: Silkies have five toes.,0.418180911003168,B
Five lay on my left side.,-0.10097038522362711,S
Fleas infected with plague literally starve.,0.6345541238186568,B
"Fleet National Bank, Hartford, is trustee.",0.2091630548213388,B
Flexible packages to fit every budget.,0.004384798278350255,B
Floor to ceiling windows covered it.,0.022883673300485984,B
"For OPEN HOUSE, Chris Huntington, CNN.",-0.20030773209355757,D
"For Re-use existing schema, select No.",-0.34027183621408486,D
For every room of the house.,-0.10264522736510792,B
"For example, text, textarea, checkbox etc.",0.46590662763851265,B
"For expertise and services, try LinkedIn.",-0.2786258135681559,D
"For latch hooking, rug hooking, r..",0.09603888257872362,D
"For purely constitutional reasons, of course.",-0.009781147611577145,B
"For smaller loads, remove and pa..",0.11414299660242667,D
"For sustainably fished cod, choose U.S.",0.3355792414849676,D
For what do the utopians labor??,0.8644629425556518,B
Forgive me if I frighten you.,-0.17928355951921254,B
Form clay strip into a cylinder.,-0.18276493130514088,B
"Fortunately, she was not easily deterred.",-0.25988381069451133,B
"Fred Mullen from Mercer Island, Wash.",0.34245215385242217,B
Fredriksson was the acting news editor.,-0.04918235905744093,B
Free Printable Yearly Calendar 2018 Ex1v.,-0.44682460870542906,D
"From his birth in Manchester, New.",0.17593839206586837,D
From northern waste to southern hill.,0.14174185352365634,B
From some historian his father met.,0.36732814014046405,B
From stereotaxy to intraoperative MR Am.,0.12592986716504972,D
From the Baldy tunnel higher up.,0.17390011132440347,B
"Frowning, Miss Ada studied the list.",0.5050215688102594,B
Gabrielle manages a successful private practice.,0.3778875584311282,B
"Game on, Barney to throw first.",0.5160762943889021,B
Gathering Ground Gaming Wholesale Accounts Availible!,-0.018782911594908008,D
"Gee, those are pretty nice cyclists.",0.12056255340576172,S
General English: English section was Moderate.,0.6320714707962036,D
"General personality: Generous, conscientious, amiable, loyal.",0.313064269039542,B
Gentle on materials and manually app..,0.8077578323568154,D
Geometric theory applied to puzzle making?,0.1595794199547997,B
"Get out of here, you guys.",-0.13982455743077332,B
Get your business online with eUKhost.,0.40283196149200756,D
"Gh me, who is this man?",-0.0207948710769415,S
Ghatkoper 15min Away Via Jijamata Marg.,-0.237549527969664,D
Gift garage plot magi sentence abb.,0.004316042080697385,D
Giles Coke released by Sheff Wed!,0.09463740745980263,D
Give me a minute to think.,-0.16967121012283326,S
Glam Morena: Tutorial: In Full Bloom.,-0.008700097059186085,B
"Goode was born in Exeter, Devon.",0.09005928708228081,B
Grab's have a closer look below.,0.13506549000740053,S
Grace and kindness was their strength.,0.2064368180576909,B
Gram and business leaders are es-!,0.07516353108920482,D
Gre LEADERS this month evid TRMS.,1.1003714233636854,D
"Great food, big portions, honest prices.",0.19828614782927206,B
Great water pressure in those pipes.,-0.3338646928736928,B
"Gross stopped briefly, then went on.",0.4045289567761916,B
Growing vegetables and tending the garden.,-0.6213429279389813,B
Guest started a topic LIVER Connection??,0.799330229505777,D
Guitar chords lent a soothing strum.,0.21587218375611536,B
HAEL announcing with a easily NM.,0.029035089164972272,D
HOW feeding't settlers under my Afgh.,0.23787307143211367,D
Hasbarie considered prostitutes ARE of Prob.,0.370102097094059,D
Hatched a Wobbuffet from the Egg.,-0.06358270261738923,B
Have we seen the prosecution judge?,-0.009636182195882914,B
He PubMed with us in Did.,0.8705843925476074,D
"He allegedly bought 15,000 Skybox shares.",0.03473207169179047,B
He also admitted killing Mrs. Hengesbach.,0.14903884451903565,B
"He asked, still sounding utterly disinterested.",0.30705970049390835,B
"He could be cruel, domineering, arrogant.",-0.011415403616710179,B
He could not say a word.,-0.37460458192955864,B
He could smell the cooking meat.,-0.17157359928245164,B
He don't look nothing like Ricky.,0.35312039280107044,B
He dove into the dark water.,-0.5803595188089777,S
He encouraged hostility and eventually war.,-0.21524616686091194,B
He felt his stomach for blood.,0.837242915943176,B
He felt more embarrassed than frightened.,-0.5402231666000487,B
He felt silently and secretly fulfilled.,0.07428025360275667,B
He finally hit the ball back.,0.03741187842912681,B
He gave me a great deal.,-0.10421822322245441,B
He gave me a huge hug.,-0.7723710805570475,S
He gazed out at the ocean.,0.07564332740089406,S
He gazed out the study window.,-0.11568132254719032,S
He gets back into his car.,-0.3926699754215622,S
He glanced wistfully out the window..,0.2875947884452558,B
He got up and walked away.,-0.023115173927628813,S
He had a job to do.,-0.25751071790243146,S
He had a white T-shirt on.,-0.47210899113241983,S
He had partners and an assistant.,-0.436379955536352,B
He handed her the leather bag.,-0.5491843876432968,B
He has had a distinguished career.,0.17281840551615552,B
He held out a duffel bag.,-0.1809509748549205,B
He hope was going to happen.,-0.47541633024811747,S
He inspected it with obvious satisfaction.,0.10082381133897178,B
He is quite sick and weak.,-0.22135408995792435,B
He joins us now from Phoenix.,-0.1549082257660237,B
He joke back at MG suing..,0.08204976059496402,D
He just laughs when we weep.,0.12597906921367885,B
He lay asleep in his bed.,-0.31101231179559424,S
He lay back on the mattress.,0.36539237647411676,S
He lay there for a moment.,0.1330943558764862,S
He looked annoyed at being disturbed.,0.015800982278162505,B
He looked back at the ceiling.,-0.505728410838576,S
He looked emerging granting me terrible.,0.5630748301744462,D
He looked out at the lake.,-0.058917182638622924,S
He looked out of the window.,-0.5694206466664581,S
He looked out over the court.,-0.5852727206909244,S
He looked out the side window.,-0.6463538880087359,S
He looked out the window again.,-0.43146529981225323,S
He looked up at the ceiling.,-0.06181668392058243,S
He looked up in the sky.,-0.1686695354529331,S
He looked very sourced and peaceful.,0.16662232615053651,S
He marched out of the area.,-0.22502992675421396,S
He might need the knife again.,-0.09848153801483586,B
He must pray to be spared.,-0.10084644812647062,B
He only doubted his own abilities.,-0.29572467620012816,B
He pointed at the smaller circle.,0.04034128142282241,B
He pulled up on the knob.,-0.4020615916788556,B
"He put the boxes back together,",-0.09635949046464577,S
He put the car in gear.,-0.4470568793663704,B
He ran across the uneven terrain.,-0.06603358913644157,S
He ran further into the woods.,0.04599323248405838,S
He relativity as he got Prevent.,0.0935427226126194,D
He remained thoughtful for a moment.,-0.3058139999125543,B
He rose and left the table.,-0.5349654559106706,S
"He said Saudi Arabia, flat-out no.",0.361125452428332,D
He seemed extremely pleased with himself.,-0.3837969482111868,B
He seemed quite unconcerned and relaxed.,-0.07388754309361571,B
He sneered contemptuously at the Daimons.,0.1950091565847202,B
"He spoke baldly, with no pride.",0.538381140993429,B
He spun around in the snow.,0.030465133720586134,S
He stares up at the sky.,-0.7049555986611633,S
He started walking through the snow.,-0.6102392562973525,S
He stopped at the bedroom door.,-0.2824231240180295,B
He then walked to the bathroom.,-0.3089914071228607,S
He told her the truth unabashedly.,-0.039908373903789526,B
He took another sip of beer.,-0.3236807775097922,B
He took off toward the stairs.,0.26369567388077647,S
He treated them like puppy dogs.,-0.20013643008979023,B
He truly was a skilled marksman.,-0.3227127072907944,B
He turned to leave then stopped.,-0.08800167723424013,B
He understood the science behind it.,-0.16872444824382116,B
He walked back to the piano.,0.423818600308286,S
He walked out of the room.,-1.2225514114037628,S
He wanted to investigate the victim.,-0.12367321344895128,B
He was a United States Senator!,0.08190814882470214,B
He was a tall muscular man.,-0.1782974197483705,B
He was a terrific Jimmy dance.,-0.44711503833532334,S
He was articles very audio impl.,0.06032439125701787,D
He was bleeding from the stomach.,-0.30828271724759937,B
He was cruel and scary and-,0.3337895778718966,B
"He was happy, upbeat and friendly.",-0.28662954160328435,B
He was hard to put down.,0.031098002195358243,S
He was sitting in a chair.,-0.171436459171566,S
"He was too skinny, almost skeletal.",0.22414541801783816,B
He was typing on a computer.,-0.4462786350163432,S
He was underground in a cave.,-0.17379286167379077,B
He was very patient and sure-footed.,-0.162848888586246,B
