condition,model,language,r,r_mean,r_se,r_random,r_mean_random,r_se_random
experimental,mdeberta,German,"[-0.16052621416198018, 0.167051785412006]",0.0032627856250129067,0.11581631243314479,"[-0.015539999323990347, 0.08484612042358208]",0.03465306054979587,0.035491853005256625
experimental,mt5_small,German,"[-0.018593419423167074, 0.014036077395770494]",-0.0022786710136982902,0.011536269233687816,"[-0.010329040817850577, -0.017237457813048015]",-0.013783249315449296,0.0024424942522842507
experimental,mt5_base,German,"[-0.12607186942529294, 0.030166071945475076]",-0.047952898739908933,0.05523845391094815,"[0.008373982932286951, 0.007574403913045508]",0.00797419342266623,0.00028269387330005677
experimental,mt5_large,German,"[-0.1281543036912907, 0.21338122059562045]",0.04261345845216488,0.12075104261968882,"[0.010959055378729217, 0.07159283211611375]",0.04127594374742148,0.02143727734997787
experimental,mgpt,German,"[0.19492417841532766, 0.3582014392024461]",0.2765628088088869,0.05772722915806791,"[0.06347259539235334, 0.08897338810904498]",0.07622299175069916,0.00901589172780259
experimental,xglm_small,German,"[0.28815517937211266, 0.18769895918329532]",0.237927069277704,0.035516637253940844,"[-0.0063734446900979595, 0.10191929100003404]",0.04777292315496804,0.03828726387986739
experimental,xglm_med,German,"[0.05181943692638702, 0.32349523505463507]",0.18765733599051104,0.09605189957037587,"[0.05080716993071134, 0.09300162340512896]",0.07190439666792015,0.01491799209011049
experimental,xglm_large,German,"[0.1724294963020101, 0.28719935115560963]",0.22981442372880986,0.040577271321388005,"[0.10829424700997994, 0.0945029514025654]",0.10139859920627267,0.004875959322675535
experimental,xglm_xl,German,"[0.26563281556337376, 0.21103364969078892]",0.23833323262708134,0.01930372021781693,"[0.0029003388461006736, 0.10111684764882681]",0.05200859324746374,0.03472477969943794
experimental,nllb200_distilled_600M,Hindi,"[-0.20971689066258517, 0.020922656926082136]",-0.09439711686825152,0.08154339405487204,"[-0.052417119977141026, 0.01098641220752897]",-0.020715353884806026,0.022416533779479834
experimental,nllb200_distilled_1B,Hindi,"[-0.14893503862366722, -0.03984792837642209]",-0.09439148350004466,0.03856811769793577,"[-0.05748337220500659, 0.039479916747406835]",-0.009001727728799879,0.03428169957220109
experimental,nllb200_1B,Hindi,"[-0.08920579273000191, -0.11050353372518464]",-0.09985466322759327,0.007529888540824216,"[-0.044452923906649074, 0.014622328504297694]",-0.01491529770117569,0.0208862557900437
experimental,xlm_align,Hindi,"[-0.18700594577363838, 0.05430125505448896]",-0.06635234535957471,0.08531497902735645,"[-0.035217604536937945, -0.13703735288078067]",-0.08612747870885931,0.035998717256319465
experimental,infoxlm_base,Hindi,"[-0.18873004660707393, -0.026158701785653465]",-0.1074443741963637,0.05747765017492146,"[-0.024706085788278626, -0.13046932448896956]",-0.07758770513862409,0.037392951642755023
experimental,infoxlm_large,Hindi,"[-0.14543985376460586, 0.0966392422846259]",-0.024400305739989976,0.08558788519996068,"[-0.021998896794620224, -0.06182865517101779]",-0.04191377598281901,0.014081946120486206
experimental,multiminilm,Hindi,"[-0.16243062478904002, -0.045444387996178136]",-0.10393750639260908,0.04136088067086391,"[-0.03883168173565162, -0.05962391808307844]",-0.04922779990936503,0.007351165658649456
experimental,xlmr_base,Hindi,"[-0.2595979427946706, -0.05378345837133741]",-0.156690700583004,0.07276640880107596,"[0.02755591603170451, -0.08912532622383176]",-0.030784705096063625,0.041253048818080014
experimental,xlmr_large,Hindi,"[-0.2363075512802544, 0.12046794745566138]",-0.057919801912296516,0.12613918725868928,"[-0.04022573359871035, -0.10012293260749563]",-0.07017433310310299,0.021176857796596112
experimental,distilmbert,Hindi,"[-0.11789222533253875, -0.002990366199494681]",-0.060441295766016714,0.04062394188195845,"[-0.0030276188712776257, -0.04571467055949471]",-0.02437114471538617,0.015092151858799483
experimental,bert_base,Hindi,"[-0.07680225644228757, 0.011842037457381544]",-0.03248010949245301,0.031340490664974664,"[0.06284485348961125, 0.027782529650890442]",0.04531369157025084,0.01239640347525911
experimental,mdeberta,Hindi,"[-0.2310773333242191, 0.11125843331230406]",-0.059909450005957515,0.12103397101569048,"[-0.04108336183838019, -0.03101428322821791]",-0.03604882253329905,0.0035599568827730825
experimental,mt5_small,Hindi,"[-0.07454721253929263, 0.059488750547078584]",-0.007529230996107021,0.04738886921062142,"[0.000758736962845237, -0.025472528963715112]",-0.012356896000434938,0.009274153007889224
experimental,mt5_base,Hindi,"[-0.012486388398283699, -0.037693752066168755]",-0.025090070232226227,0.008912148892698462,"[-0.017297618851049617, -0.048360532955642924]",-0.03282907590334627,0.01098239860338659
experimental,mt5_large,Hindi,"[-0.1287322876948137, 0.12058314866278909]",-0.004074569516012309,0.08814631785147202,"[-0.019589578542363414, -0.03758026304035986]",-0.028584920791361636,0.006360667503360491
experimental,mgpt,Hindi,"[-0.10276962371249672, 0.13672702824700414]",0.01697870226725371,0.08467485333601875,"[-0.08489951567124623, 0.049695266783858716]",-0.01760212444369376,0.04758644169316643
experimental,xglm_small,Hindi,"[-0.27100459214688827, 0.1704660696157961]",-0.05026926126554608,0.15608344931365337,"[-0.0024243709717867417, -0.04859934271086061]",-0.025511856841323677,0.01632531781889816
experimental,xglm_med,Hindi,"[-0.14184250964230727, -0.0072885445818740525]",-0.07456552711209066,0.04757201056488505,"[-0.09274188038820784, -0.09320838385920037]",-0.0929751321237041,0.00016493388389293983
experimental,xglm_large,Hindi,"[-0.17786647221872443, -0.01967122377336399]",-0.09876884799604421,0.055930466463602495,"[-0.021977637926413662, -0.12808952181696054]",-0.0750335798716871,0.03751621633174263
experimental,xglm_xl,Hindi,"[-0.16430558740330398, 0.04072676214617349]",-0.06178941262856524,0.07248988236452304,"[-0.042361377401086406, -0.058050253828773685]",-0.050205815614930045,0.005546855455607726
experimental,nllb200_distilled_600M,Italian,"[-0.18320178770817677, -0.05812818404473685, 0.20998351301430704]",-0.010448819579535529,0.09469678103517991,"[-0.01877660908912832, 0.04917679767395009, 0.11384299702413803]",0.04808106186965327,0.03126194157304477
experimental,nllb200_distilled_1B,Italian,"[-0.06252801737554438, -0.027845691618224463, 0.16024136070269437]",0.023289217236308512,0.05650493219379146,"[0.08225250182516464, 0.03473940213290273, 0.11713008678645948]",0.07804066358150895,0.019495645755817706
experimental,nllb200_1B,Italian,"[-0.12267360762103834, -0.05894322332619379, 0.15193637921575467]",-0.009893483910492487,0.06775293174499218,"[0.045473192951503844, 0.07389788830540725, 0.12571365239990678]",0.08169491121893929,0.01917885414175557
experimental,xlm_align,Italian,"[0.06518843687743352, 0.13699840149322237, 0.2529713020022709]",0.15171938012430894,0.0446669938234683,"[0.0791889230659996, 0.02968335001373212, 0.13869598710902448]",0.08252275339625208,0.025730546395375895
experimental,infoxlm_base,Italian,"[0.07810324539294047, 0.13626090895859083, 0.29586269150636835]",0.17007561528596657,0.0531504570188603,"[0.09235253931060602, 0.0707030171275675, 0.11233009802639853]",0.09179521815485736,0.009814234799994903
experimental,infoxlm_large,Italian,"[-0.09432136230834175, -0.05307344554043948, 0.23150508217405452]",0.02803675810842443,0.08363261834818617,"[0.2149609285048776, 0.08828344655757589, 0.06087912201804823]",0.1213744990268339,0.038748660443379844
experimental,multiminilm,Italian,"[0.09652015585952305, 0.07598416529983862, 0.24161154501183613]",0.13803862205706594,0.04255961702029267,"[0.05827331779049869, 0.05041330129476198, 0.09672309447131817]",0.0684699045188596,0.011682151834653983
experimental,xlmr_base,Italian,"[0.046733875292210215, 0.09208852403922771, 0.31118519668697014]",0.15000253200613603,0.06666524929485292,"[0.13761575729776784, 0.03488148019705309, 0.11692660443140607]",0.096474613975409,0.025613780397194866
experimental,xlmr_large,Italian,"[-0.1645836500309353, -0.06317751538984853, 0.2848687209464793]",0.019035851841898488,0.11112669122121778,"[0.1776036528401828, 0.09163819603922517, 0.023275303909095435]",0.09750571759616782,0.0364543266076112
experimental,distilmbert,Italian,"[-0.0016672903325190037, 0.003680786127125979, 0.30749131457139]",0.10316827012199899,0.08342405774815721,"[0.12830538615670317, 0.18414901610971962, 0.06028558938068569]",0.12424666388236949,0.029241872717578655
experimental,bert_base,Italian,"[0.11229488105991974, -0.002799716303548805, 0.31011809652304645]",0.13987108709313914,0.0746096877094165,"[0.086690248153906, 0.10152924754217693, 0.10007592174336684]",0.09609847247981658,0.0038561366012676936
experimental,mdeberta,Italian,"[-0.10014234434114562, -0.04995557528305103, 0.2368821970983623]",0.028928092491388547,0.08571705413651329,"[-0.059109048922587115, -0.0009819765628182823, 0.0863611541550786]",0.008756709556557734,0.034517391755986566
experimental,mt5_small,Italian,"[-0.023248703513305935, -0.08910213936018226, 0.24147968964999494]",0.043042948925502256,0.08248504754092549,"[-0.07183639037531264, 0.017105516456722817, 0.0014146878050374928]",-0.01777206203785078,0.022379376542203604
experimental,mt5_base,Italian,"[-0.13122080400036698, -0.0291399191438941, 0.21377463322947804]",0.017804636695072318,0.08354414191783269,"[-0.016910816442978427, 0.006642596633586817, 0.045851442088504814]",0.011861074093037735,0.014945825535649175
experimental,mt5_large,Italian,"[0.07511941971605125, 0.019053813068474087, 0.3899301740147694]",0.16136780226643158,0.09424130540103391,"[0.12105540472464128, -0.02042655227054488, 0.15510686418784536]",0.08524523888064726,0.043880572914115255
experimental,mgpt,Italian,"[0.07435377055543592, 0.18485391298221346, 0.14277226947521185]",0.13399331767095377,0.026290568081308578,"[0.04074744831812046, 0.1303308652390286, 0.07324499577242774]",0.08144110310985893,0.02137849011621693
experimental,xglm_small,Italian,"[0.1466139174080796, 0.10016334284127912, 0.26959013974311696]",0.17212246666415856,0.04126977489900786,"[0.023239891388161155, 0.06303887864300708, 0.050751284229218346]",0.0456766847534622,0.00960675128932606
experimental,xglm_med,Italian,"[-0.015456178626517181, 0.13059011299654438, 0.3573187664351668]",0.15748423360173133,0.08854723812592305,"[0.0713793793739793, 0.06278589595631322, 0.08870919776074387]",0.07429149103034546,0.0062247657668605795
experimental,xglm_large,Italian,"[-0.08517731868814647, 0.1666085041724277, 0.3742288781934453]",0.1518866878925755,0.10844974498124338,"[0.02400932856277671, 0.013740848792106856, 0.10315566320544617]",0.04696861352010991,0.023065601292627167
experimental,xglm_xl,Italian,"[-0.11418390306845456, 0.15305160621985048, 0.3103768143232334]",0.11641483915820977,0.10118150930501402,"[0.01961847346602668, 0.04693318757102712, 0.08616803762931224]",0.05090656622212201,0.015769534101548452
experimental,nllb200_distilled_600M,Korean,[0.3301035201852849],0.3301035201852849,0.0,[0.12668908081439362],0.12668908081439362,0.0
experimental,nllb200_distilled_1B,Korean,[0.33274798821728435],0.33274798821728435,0.0,[0.13218852052986546],0.13218852052986546,0.0
experimental,nllb200_1B,Korean,[0.3309574765890348],0.3309574765890348,0.0,[0.1313406462968909],0.1313406462968909,0.0
experimental,xlm_align,Korean,[0.3291731675370621],0.3291731675370621,0.0,[0.033431026211894505],0.033431026211894505,0.0
experimental,infoxlm_base,Korean,[0.3343799332848354],0.3343799332848354,0.0,[0.06357985539180833],0.06357985539180833,0.0
experimental,infoxlm_large,Korean,[0.26600465635613935],0.26600465635613935,0.0,[0.09945154559110087],0.09945154559110087,0.0
experimental,multiminilm,Korean,[0.20065641261747638],0.20065641261747638,0.0,[0.0286062323808884],0.0286062323808884,0.0
experimental,xlmr_base,Korean,[0.29136536790233397],0.29136536790233397,0.0,[0.0604909372609538],0.0604909372609538,0.0
experimental,xlmr_large,Korean,[0.30928910413659105],0.30928910413659105,0.0,[0.05608982677096955],0.05608982677096955,0.0
experimental,distilmbert,Korean,[0.1587871202602468],0.1587871202602468,0.0,[0.10097459524347827],0.10097459524347827,0.0
experimental,bert_base,Korean,[0.1982792791782838],0.1982792791782838,0.0,[0.0611667805995968],0.0611667805995968,0.0
experimental,mdeberta,Korean,[0.30890666595161886],0.30890666595161886,0.0,[0.0605334677472994],0.0605334677472994,0.0
experimental,mt5_small,Korean,[0.19855922685058536],0.19855922685058536,0.0,[0.006953434559342905],0.006953434559342905,0.0
experimental,mt5_base,Korean,[0.09520813641367476],0.09520813641367476,0.0,[0.09153630782791104],0.09153630782791104,0.0
experimental,mt5_large,Korean,[0.39049434552812223],0.39049434552812223,0.0,[0.11970111949393308],0.11970111949393308,0.0
experimental,mgpt,Korean,[0.40470253125509953],0.40470253125509953,0.0,[0.1564698800690662],0.1564698800690662,0.0
experimental,xglm_small,Korean,[0.34961172844208366],0.34961172844208366,0.0,[0.0788670410871381],0.0788670410871381,0.0
experimental,xglm_med,Korean,[0.37597676681409126],0.37597676681409126,0.0,[0.0818314244219141],0.0818314244219141,0.0
experimental,xglm_large,Korean,[0.3717317004097323],0.3717317004097323,0.0,[0.10640064799313037],0.10640064799313037,0.0
experimental,xglm_xl,Korean,[0.4119029313415181],0.4119029313415181,0.0,[0.10613432700156826],0.10613432700156826,0.0
experimental,nllb200_distilled_600M,Portuguese,"[0.13418412151860767, 0.07683833153742735]",0.1055112265280175,0.020274798484096093,"[-0.07516878436324256, 0.04450773220701045]",-0.015330526078116056,0.04231203820780506
experimental,nllb200_distilled_1B,Portuguese,"[0.06156078765153781, 0.08829756979157584]",0.07492917872155683,0.00945287997916413,"[0.04118649914294797, 0.08274284520754646]",0.06196467217524722,0.014692387051806245
experimental,nllb200_1B,Portuguese,"[-0.04764191716526959, 0.05944024772779577]",0.0058991652812630906,0.03785926247001128,"[0.005358430182752269, 0.1125423566732627]",0.05895039342800749,0.037895240627820174
experimental,xlm_align,Portuguese,"[0.022379008710841076, 0.05779550251162805]",0.040087255611234565,0.012521621466193896,"[0.004785470691857932, 0.06687043903725144]",0.03582795486455469,0.021950351063389946
experimental,infoxlm_base,Portuguese,"[-0.015854707287818556, 0.06596039499909585]",0.02505284385563865,0.028926006815274095,"[0.011599448442618301, 0.0749336787059257]",0.043266563574272,0.022392031850207456
experimental,infoxlm_large,Portuguese,"[0.04598040172628735, 0.06154844394392346]",0.05376442283510541,0.005504134110944477,"[-0.03985945712340279, 0.07294889273604467]",0.01654471780632094,0.0398837745800399
experimental,multiminilm,Portuguese,"[-0.018104745789291738, 0.10664928720109693]",0.044272270705902596,0.04410721135393705,"[-0.06783064664768179, -0.0036482755233345]",-0.03573946108550814,0.022691894927328808
experimental,xlmr_base,Portuguese,"[0.06573080282975337, 0.186873306939223]",0.12630205488448817,0.042830343072862584,"[-0.01866181194566239, -0.014526990797236697]",-0.016594401371449543,0.0014618800365226775
experimental,xlmr_large,Portuguese,"[0.04276817322385365, 0.08852092403172765]",0.06564454862779065,0.016176040177092996,"[-0.024200621301216814, 0.04995789638409309]",0.01287863754143814,0.02621899536901257
experimental,distilmbert,Portuguese,"[-0.09942969483643378, 0.108220149021935]",0.004395227092750607,0.07341530635229016,"[-0.020368447198221812, -0.004489411441469731]",-0.012428929319845771,0.005614086931151528
experimental,bert_base,Portuguese,"[-0.17072614122985272, 0.0628555659550059]",-0.05393528763742341,0.082583604555772,"[0.04624941869214877, 0.08022169933745812]",0.06323555901480345,0.012011015008335372
experimental,mdeberta,Portuguese,"[-0.025699368813616962, 0.21482638712386615]",0.0945635091551246,0.0850386965367074,"[0.018604649137574026, 0.04245766792866647]",0.030531158533120245,0.008433315669475805
experimental,mt5_small,Portuguese,"[0.0036247974196715327, 0.15074788278247353]",0.07718634010107253,0.05201586566456229,"[-0.0720295599505137, 0.040289077661711636]",-0.015870241144401033,0.03971063515461947
experimental,mt5_base,Portuguese,"[-0.07414785028513324, 0.17976388507184193]",0.05280801739335435,0.0897713549468806,"[-0.030020870384697994, 0.07474976982660732]",0.022364449720954662,0.03704201508133498
experimental,mt5_large,Portuguese,"[-0.041193810893466846, 0.20225047963610615]",0.08052833437131965,0.08607055433730454,"[0.01232790273278661, 0.0257917403685489]",0.019059821550667756,0.004760185446521084
experimental,mgpt,Portuguese,"[0.001813070530321384, 0.18575744333382682]",0.0937852569320741,0.06503415668523252,"[0.004771620973004351, 0.1949901011452907]",0.09988086105914752,0.06725238861841125
experimental,xglm_small,Portuguese,"[0.02758988642614202, 0.19840518514435296]",0.11299753578524749,0.06039232802702636,"[-0.023981220903789395, 0.05526575939053027]",0.01564226924337044,0.02801803857733507
experimental,xglm_med,Portuguese,"[0.13041578709739587, 0.14237045516468722]",0.13639312113104154,0.004226613428607993,"[0.0216271385249685, 0.1724623117812799]",0.0970447251531242,0.05332828692549278
experimental,xglm_large,Portuguese,"[0.1005656241321816, 0.1432608545711053]",0.12191323935164344,0.015095043483842618,"[0.08271749026562496, 0.14591258228482926]",0.1143150362752271,0.022342839052243612
experimental,xglm_xl,Portuguese,"[0.09482993484212425, 0.15644458636470626]",0.12563726060341526,0.021784068956031886,"[0.061492346103657614, 0.1606191137213802]",0.11105572991251891,0.035046604789797355
experimental,nllb200_distilled_600M,Russian,"[0.43424690338021155, 0.15401040291889365, 0.06691556156548725]",0.21839095595486416,0.09048231303749002,"[0.11598569321035626, -0.03287960631590334, 0.01427047820484344]",0.03245885503309879,0.035864969413050486
experimental,nllb200_distilled_1B,Russian,"[0.41089372217273246, 0.2852123459329656, 0.0411854642605195]",0.24576384412207253,0.08861676191263626,"[0.12488610034510582, -0.03502642382774335, 0.11230033008075009]",0.06738666886603752,0.04191507702649224
experimental,nllb200_1B,Russian,"[0.40411004633448033, 0.19629478186993066, 0.06707938643417384]",0.22249473821286161,0.08015574383312588,"[0.11109267048851677, 0.0007596072629607112, 0.07922553654085149]",0.06369260476410966,0.026767725954005485
experimental,xlm_align,Russian,"[0.37312388263444185, 0.2883131728213773, 0.1470175740684576]",0.2694848765080922,0.053845239653163325,"[0.03513640992122475, 0.0021041452170365935, 0.03517952208347711]",0.024140025740579486,0.00899611629168111
experimental,infoxlm_base,Russian,"[0.34950030214474104, 0.34288645567333653, 0.011793198068665495]",0.2347266519622477,0.09102555122354783,"[0.026066642468401607, 0.03819316711314957, 0.05143807444831685]",0.038565961343289344,0.005982040191391146
experimental,infoxlm_large,Russian,"[0.3455759222064929, 0.19840295471441233, 0.22285592481745078]",0.25561160057945204,0.03717726698183916,"[0.1841200493355424, 0.007522467241537538, 0.10592579516375628]",0.0991894372469454,0.041715199438440057
experimental,multiminilm,Russian,"[0.39686083610722656, 0.2830661743931978, 0.18336980891792948]",0.28776560647278465,0.05035687786851031,"[0.0017226907142485178, 0.0002489789551989481, 0.038982950656137036]",0.013651540108528168,0.010347337036227916
experimental,xlmr_base,Russian,"[0.3213673256910945, 0.18979404796198202, 0.09559865579077761]",0.20225334314795138,0.053456729343643296,"[0.03493664326559294, -0.04508296022051995, 0.0698638395259499]",0.019905840857007633,0.0277794306748045
experimental,xlmr_large,Russian,"[0.38352903989867904, 0.2952716515100934, 0.13435341522158478]",0.2710513688767857,0.05955779555549012,"[0.16313186018532028, -0.044796049407502495, 0.13662979632637787]",0.08498853570139854,0.053351286032845134
experimental,distilmbert,Russian,"[0.37762934788294855, 0.2132353059993039, -0.034634837706073805]",0.18540993872539288,0.09783333671526515,"[0.16446040339255613, -0.0909923881579838, 0.06909866655224077]",0.04752222726227103,0.06085171270677637
experimental,bert_base,Russian,"[0.37462293975548017, 0.17688942966316598, 0.2240680801515037]",0.2585268165233833,0.048683076314777106,"[0.06626192332366235, -0.026607686858393088, -0.013704028589502787]",0.008650069291922158,0.023715772496196046
experimental,mdeberta,Russian,"[0.30708397315681857, 0.21543137737343732, -0.001417505997654618]",0.17369928151086708,0.07468372800451624,"[0.02589651217174752, 0.038469733639273695, 0.008813342961562026]",0.024393196257527745,0.007016969052244799
experimental,mt5_small,Russian,"[0.053970411867928975, 0.12002815637319783, -0.19549591565302055]",-0.007165782470631247,0.07844613962692736,"[-0.0036153997619364046, -0.018018875677077703, -0.07936691051049072]",-0.033667061983168274,0.018963251867022968
experimental,mt5_base,Russian,"[0.2055391821386473, 0.1157328914959878, 0.2245125756793295]",0.1819282164379882,0.027391658092464594,"[0.0877571995657036, -0.03418326287220516, 0.011265294116448846]",0.021613076936649097,0.029050441005882943
experimental,mt5_large,Russian,"[0.40363984622747817, 0.1001150676822621, 0.1373827650217482]",0.21371255964382949,0.0780334699671557,"[0.09816140539603652, 0.055667264666330235, 0.06948126215361129]",0.07443664407199269,0.010218228336945332
experimental,mgpt,Russian,"[0.4962574861665217, 0.1876695777017682, 0.18275594321765765]",0.28889433569531586,0.0846635735405714,"[0.3092577695540116, 0.16688805036850202, 0.282604915075629]",0.2529169116660475,0.03567855688124078
experimental,xglm_small,Russian,"[0.29710951339613023, 0.1968787119933797, -0.05771946510681146]",0.14542292009423283,0.08623182563600994,"[0.14063382334363433, 0.07503299485196911, 0.0763646035252928]",0.09734380724029874,0.01767586185913816
experimental,xglm_med,Russian,"[0.37792878367348887, 0.17007555522110354, 0.16541204682160615]",0.23780546190539953,0.05721566618241833,"[0.22270865279644025, 0.0663641971276222, 0.11028525833083576]",0.1331193694182994,0.038011532391749876
experimental,xglm_large,Russian,"[0.3892822385536977, 0.3021822253149952, 0.16594261812639025]",0.2858023606650277,0.05306468063205064,"[0.20010342492602767, 0.09997737113198288, 0.10302905370732568]",0.13436994992177873,0.026845216804388602
