sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
10,A car can be powered by a gasoline or electric engine.,A boat can be driven by a diesel or solar motor.,A boat can be powered by a diesel or steam engine.,A boat can be driven by a diesel or solar motor.,A stove can be fueled by a propane or wood burner.,A fan can be run by a wind or water turbine.,A boat can be driven by a diesel or paddle wheel.,A boat can be driven by a diesel or paddle wheel.,A toy can be moved by a spring or rubber motor.,A pump can be driven by a steam or hydraulic engine.,A signal can be transmitted by a radio or fiber-optic cable.
11,A carpenter is an artist or manual laborer who works with wood.,A surgeon is a scientist or medical professional who operates on patients.,A curator is a historian or gallery expert who manages collections.,A pilot is a navigator or aircraft officer who flies across continents.,A baker is a chemist or culinary artisan who experiments with dough.,A miner is a geologist or underground worker who extracts from caverns.,A tailor is a designer or fabric specialist who sews with textiles.,A ranger is a biologist or wilderness guardian who patrols through forests.,A librarian is a scholar or archive custodian who catalogs within stacks.,A mechanic is an engineer or vehicle technician who repairs using tools.,A florist is a botanist or bloom arranger who crafts with petals.
12,A castle could easily control lands within a day's walk.,A studio could quickly film scenes within a block's drive.,A clinic could quietly treat patients within an hour's wait.,A museum could safely store artifacts within a vault's depth.,A bakery could freshly produce loaves within a morning's shift.,A theater could smoothly stage plays within a season's run.,A factory could steadily manufacture parts within a week's cycle.,A library could freely lend books within a month's limit.,A vineyard could slowly ferment grapes within a cellar's chill.,A school could fairly evaluate students within a term's length.,A hotel could comfortably host guests within a minute's check.
13,A chair is a piece of furniture designed for people to sit on.,A novel is a form of entertainment written for readers to enjoy at home.,A hammer is a type of tool built for carpenters to strike with.,A poem is a work of art composed for listeners to reflect upon.,A scarf is an article of clothing knitted for wearers to wrap around.,A tablet is a device of technology manufactured for users to interact with.,A treaty is a document of agreement drafted for nations to adhere to.,A garden is a space of nature cultivated for visitors to stroll through.,A vaccine is a substance of medicine developed for patients to rely on.,A mural is a piece of artwork painted for spectators to gaze at.,A bridge is a structure of engineering erected for travelers to cross over.
14,A clarinet is a woodwind musical instrument.,A tractor is a heavy farming vehicle.,A novel is a lengthy literary narrative.,A hammer is a metal striking implement.,A tulip is a colorful spring blossom.,A glacier is a massive frozen river.,A tablet is a portable computing gadget.,A cheetah is a swift spotted predator.,A cathedral is a grand religious edifice.,A vaccine is a preventive medical serum.,A sonnet is a structured poetic composition.
15,A cod is a fish that lives in the colder areas of the Atlantic.,A rose is a plant that grows in the sunnier parts of the garden.,A bat is a mammal that dwells in the darker corners of the cave.,A novel is a book that sits in the quieter sections of the library.,A hawk is a bird that soars in the windier zones of the prairie.,A poem is a text that appears in the thinner volumes of the anthology.,A crab is a creature that hides in the muddier stretches of the marsh.,A statue is a sculpture that stands in the grander halls of the museum.,A vine is a plant that climbs in the shadier spots of the forest.,A yacht is a vessel that sails in the calmer waters of the bay.,A song is a tune that plays in the livelier rooms of the club.
16,A convicted murderer is often given a life sentence or the death penalty.,A celebrated painter is usually offered a solo exhibition or a prestigious medal.,A wounded soldier is typically granted a medical discharge or a disability pension.,A trusted advisor is frequently awarded a senior position or a generous bonus.,A rescued hiker is normally sent a hospital bill or a rescue invoice.,A proven inventor is regularly issued a patent certificate or a royalty check.,A retired teacher is commonly presented a farewell gift or a commemorative plaque.,A rescued kitten is routinely given a warm blanket or a veterinary exam.,A nominated actor is often handed a golden trophy or a critics' prize.,A graduating student is usually mailed a diploma scroll or an honors cord.,A rescued sailor is typically offered a hot meal or a clean uniform.
17,A cooperative is a farm where many farmers share the land and equipment.,A gallery is a space where many artists display the works and materials.,A consortium is a lab where many scientists share the tools and data.,A syndicate is a fleet where many captains share the routes and vessels.,A collective is a studio where many painters share the brushes and canvases.,A federation is a network where many doctors share the records and devices.,A union is a factory where many workers share the machines and resources.,A society is a library where many scholars share the books and databases.,A coalition is a kitchen where many chefs share the stoves and utensils.,A guild is a theater where many actors share the stage and props.,A club is a garage where many mechanics share the lifts and tools.
18,A cubicle consists of a desk surrounded by partitions on three sides.,A mansion comprises a hall flanked by columns on three sides.,A garden features a pond bordered by hedges on three sides.,A stadium holds a track enclosed by bleachers on three sides.,A castle contains a courtyard ringed by towers on three sides.,A plaza sports a fountain framed by benches on three sides.,A theater boasts a stage backed by curtains on three sides.,A museum houses a gallery lined by statues on three sides.,A temple embraces a shrine guarded by pillars on three sides.,A market includes a stall shaded by awnings on three sides.,A library shelters a nook walled by shelves on three sides.
19,A cyclone can move inland and seriously damage property.,A rumor can spread quickly and seriously damage reputations.,A hacker can break in overnight and seriously damage systems.,A frost can settle early and seriously damage harvests.,A spark can leap sideways and seriously damage forests.,A verdict can come suddenly and seriously damage careers.,A drought can stretch onward and seriously damage ecosystems.,A scandal can erupt online and seriously damage brands.,A missile can strike downtown and seriously damage infrastructure.,A toxin can leak slowly and seriously damage organisms.,A policy can shift overnight and seriously damage economies.
20,A desert is a natural environment where almost no rain falls.,A novel is a fictional narrative where many secrets hide.,A glacier is a frozen landscape where almost no life thrives.,A museum is a public building where ancient statues stand.,A jungle is a tropical habitat where countless birds sing.,A diary is a private notebook where deepest fears surface.,A canyon is a rocky chasm where hardly any plants grow.,A theater is a darkened hall where bright emotions explode.,A cellar is an underground chamber where old memories linger.,A comet is a distant object where barely any heat remains.,A cathedral is a sacred structure where solemn vows echo.
21,"A desk is a piece of furniture used for working at, sometimes with a computer.","A violin is a kind of instrument played for performing on, often with a bow.","A canoe is a type of vessel designed for paddling in, usually with a paddle.","A novel is a form of literature written for reading in, commonly with a lamp.","A tractor is a piece of machinery built for farming with, typically with a trailer.","A tent is a sheet of fabric pitched for sleeping in, sometimes with a lantern.","A chair is an item of equipment designed for sitting on, often with a cushion.","A chair is an object designed for sitting on, often with a cushion.","A kite is a bit of gear flown for playing with, usually with a string.","A violin is a musical instrument played with a bow, often in an orchestra.","A journal is a sort of notebook kept for writing in, regularly with a pen."
22,A door is a movable barrier to entrance or exit from an enclosed area.,A valve is a flexible seal to passage or flow through a confined channel.,A lid is a detachable cover to opening or closing of a storage vessel.,A gate is a swinging fence to access or departure from a secured yard.,A switch is a toggled gate to connection or disconnection of an electric line.,A hatch is a hinged panel to entry or exit from a submerged compartment.,A shutter is a sliding screen to exposure or shielding of a window frame.,A gate is a portable obstruction to passage into or out of a fenced space.,A flap is a hinged plate to covering or uncovering of a ventilation shaft.,A plug is a rubber stopper to blockage or drainage of a cylindrical drain.,A gate is a portable obstacle to access or departure from a confined space.
23,A dress is a piece of clothing that women sometimes wear.,A hammer is a kind of tool that carpenters often wield.,A sonnet is a form of poem that students frequently study.,A tulip is a type of flower that gardeners commonly plant.,A novel is a work of fiction that readers regularly enjoy.,A violin is a sort of instrument that musicians typically play.,A muffin is a variety of pastry that customers quickly buy.,A canoe is a style of vessel that paddlers occasionally steer.,A thesis is a piece of writing that scholars annually submit.,A sparrow is a species of bird that children easily spot.,A map is a tool that sailors occasionally use.
24,"A dress is like a shirt attached to a long, matching skirt.","A bike is like a scooter fused to a wide, gleaming frame.","A novel is like a pamphlet bound to a thick, glossy cover.","A castle is like a cottage joined to a tall, sturdy tower.","A salad is like a sandwich stripped of its soft, chewy bread.","A piano is like a harp laid flat behind a long, ivory keyboard.","A lantern is like a candle placed inside a glass, painted dome.","A river is like a stream merged with a deep, winding channel.","A kite is like a ribbon tied to a light, drifting frame.","A podcast is like a lecture paired with a short, catchy tune.","A galaxy is like a star wrapped in a vast, spiraling cloud."
25,"A dress is usually worn at formal occasions, such as a wedding or a dance.","A helmet is typically used during risky activities, such as a climb or a race.","A map is generally carried on lengthy journeys, such as a trek or a cruise.","A tent is commonly pitched at remote campsites, such as a meadow or a beach.","A violin is traditionally played at festive gatherings, such as a feast or a parade.","A badge is normally displayed at official functions, such as a summit or a trial.","A lantern is often carried through dark caverns, such as a tunnel or a mine.","A journal is frequently kept during stressful periods, such as a divorce or a move.","A whistle is regularly blown at crowded matches, such as a final or a derby.","A compass is usually packed for wilderness trips, such as a safari or a hike.","A poem is commonly recited at solemn events, such as a funeral or a vigil."
26,A drought is a persistent shortage of the water supply caused by lack of rain.,A rumor is a sudden outbreak of the gossip wave triggered by hint of scandal.,A boom is a rapid expansion of the job market driven by surge of trade.,A novel is a vivid portrait of the human condition shaped by burst of insight.,A storm is a violent disruption of the power grid triggered by rush of wind.,A trend is a steady rise of the demand curve fueled by wave of hype.,A memoir is a frank account of the childhood era shaped by loss of innocence.,A frost is a severe damage of the citrus crop caused by drop of temperature.,A trial is a careful review of the evidence pile prompted by claim of fraud.,A blaze is a total destruction of the forest tract caused by spark of lightning.,A grant is a generous injection of the research fund triggered by wave of philanthropy.
27,A farm is land used to grow plants or raise animals for food.,A studio is space rented to paint portraits or teach dancers for money.,A garage is a structure built to store tools or repair vehicles for profit.,A gallery is a venue designed to display sculptures or auction paintings for cash.,A clinic is a facility equipped to treat patients or train medics for income.,A theater is a site arranged to screen movies or train actors for wages.,A bakery is a shop fitted to bake breads or serve pastries for revenue.,A marina is a harbor leased to dock yachts or rent kayaks for fees.,A campus is grounds planned to house students or host scholars for knowledge.,A stadium is an arena built to host matches or seat fans for entertainment.,A lab is a room equipped to test samples or train interns for science.
28,A fire investigation determines if a fire was caused by accident or arson.,A health inspector decides if a dish was spoiled by bacteria or toxins.,A code reviewer judges if a bug was introduced by error or sabotage.,A safety auditor assesses if a collapse was triggered by fatigue or explosives.,A tax examiner rules if a loss was incurred by misfortune or fraud.,A lab technician verifies if a stain was produced by spillage or tampering.,A quality controller checks if a dent was created by impact or vandalism.,A forensic accountant proves if a shortfall was caused by mistake or embezzlement.,A building surveyor establishes if a crack was formed by settling or demolition.,A wildlife warden concludes if a death was brought by starvation or poisoning.,A customs officer decides if a delay was occasioned by backlog or smuggling.
29,A flood is an overflow of an expanse of water that submerges inhabited land.,A storm is a downpour of a volume of rain that drenches coastal cities.,A novel is a collection of a series of stories that entertains curious readers.,A parade is a procession of a group of performers that amuses excited crowds.,A treaty is an agreement of a set of terms that governs rival nations.,A vaccine is a formulation of a dose of serum that protects vulnerable patients.,A concert is a performance of a sequence of songs that delights enthusiastic fans.,A drought is a shortage of a supply of moisture that devastates farming regions.,A statue is a sculpture of a figure of bronze that inspires visiting tourists.,A merger is a combination of a pair of corporations that dominates global markets.,A wildfire is a blaze of a wall of flame that engulfs forested valleys.
30,"A floor is a horizontal surface inside a building, used for walking on.","A shelf is a vertical panel within a cabinet, designed for stacking books on.","A blade is a metallic strip inside a mower, built for cutting grass with.","A screen is a luminous rectangle within a laptop, engineered for displaying images on.","A pedal is a hinged lever inside a vehicle, shaped for pushing down with.","A lens is a curved disk within a camera, coated for focusing light through.","A drum is a cylindrical shell inside a printer, charged for transferring toner onto.","A tray is a shallow platform within a freezer, molded for holding cubes in.","A coil is a spiral wire inside a stove, heated for warming pots on.","A port is a small opening within a laptop, wired for inserting cables into.","A belt is a flexible loop inside an engine, ribbed for driving pulleys with."
31,A foot is a body part on the end of a leg. ,A fork is a kitchen tool on the side of a plate.,A bulb is a plant part at the base of a stem.,A lens is a camera piece near the front of a device.,A sail is a boat sheet at the top of a mast.,A knob is a door fixture on the face of a drawer.,A tag is a clothing label inside the seam of a shirt.,A fin is a fish appendage along the back of a trout.,A chip is a tech component on the surface of a board.,A cuff is a sleeve section around the bottom of an arm.,A plug is a power connector at the end of a cord.
32,"A forest ecosystem has various types of trees and animals, as well as ground plants.","A coastal harbor hosts numerous kinds of boats and vehicles, as well as dock warehouses.","A digital archive contains countless formats of images and documents, as well as audio recordings.","A medieval castle features several styles of towers and gates, as well as outer walls.","A tropical reef supports countless species of corals and fish, as well as sea grasses.","A modern museum displays diverse genres of paintings and sculptures, as well as ancient relics.","A suburban mall houses various brands of stores and restaurants, as well as entertainment venues.","A rural farm grows multiple varieties of grains and vegetables, as well as fruit orchards.","A city library offers numerous categories of books and magazines, as well as digital resources.","A mountain valley contains several types of rocks and minerals, as well as wildflowers.","A research laboratory develops innovative kinds of devices and systems, as well as software tools."
33,A forest is an area with a high density of trees and canopy cover.,A desert is a region with a low level of rainfall and vegetation growth.,A museum is a building with a large collection of artifacts and exhibit space.,A galaxy is a system with a vast number of stars and cosmic dust.,A library is a facility with a wide variety of books and reading areas.,A coral reef is a structure with a dense population of polyps and calcium formations.,A stadium is a venue with a massive capacity of seats and viewing sections.,A beehive is a colony with a high concentration of bees and honeycomb cells.,A warehouse is a facility with a huge inventory of goods and storage racks.,A vineyard is a property with a extensive rows of grapes and trellis systems.,A university is an institution with a large body of students and academic programs.
34,"A fork is a tool for eating solid foods, with a handle and several tines.","A harp is a device for creating soft melodies, with a frame and numerous strings.","A kite is a toy for catching swift winds, with a tail and colorful panels.","A lens is a gadget for focusing faint images, with a rim and curved surfaces.","A sled is a vehicle for sliding snowy slopes, with a base and metal runners.","A wand is a prop for performing slick tricks, with a grip and glittery tips.","A net is a tool for trapping small fishes, with a hoop and woven meshes.","A map is a chart for locating distant places, with a grid and printed spaces.","A clock is a machine for measuring brief moments, with a face and moving hands.","A brush is an instrument for applying thick paints, with a handle and stiff bristles.","A vault is a chamber for storing prized jewels, with a door and hidden shelves."
35,A freight train transports containers of goods or fuel over long distances.,A rescue helicopter carries crates of medicine or water across vast regions.,A cargo barge hauls pallets of steel or timber through inland waterways.,A patrol drone delivers parcels of data or footage across remote sectors.,An express coach ferries bundles of mail or cash between major hubs.,A supply truck conveys cartons of food or clothing along coastal routes.,A survey vessel transports samples of rock or sediment across ocean basins.,A charter jet carries crates of flowers or fruit between continental capitals.,A service van hauls boxes of tools or parts throughout rural districts.,A research rover delivers packets of soil or ice across polar expanses.,A commuter ferry conveys pallets of fish or produce across island channels.
36,A frying pan is a small pan with sloping sides and a handle.,A racing bike is a sleek bike with curved bars and a saddle.,A mixing bowl is a deep bowl with rounded edges and a spout.,A hiking boot is a sturdy boot with reinforced toes and a zipper.,A writing desk is a compact desk with sliding drawers and a stool.,A spinning top is a tiny top with angled ridges and a stem.,A fishing rod is a flexible rod with guiding rings and a reel.,A shopping cart is a metal cart with folding sides and a basket.,A reading lamp is a tall lamp with adjustable neck and a switch.,A diving mask is a clear mask with silicone seals and a strap.,A camping tent is a light tent with slanted walls and a pole.
37,A girl is a female human who has not yet reached maturity.,A rook is a black bird that has not yet left the rookery.,A calf is a young bovine that has not yet weaned from milk.,A pup is a newborn seal that has not yet entered the ocean.,A foal is a juvenile equine that has not yet worn a bridle.,A kit is a tiny mustelid that has not yet opened its eyes.,A lamb is a woolly ovine that has not yet grazed on grass.,A fry is a minute fish that has not yet developed scales.,A cub is a fluffy ursid that has not yet hunted for food.,A chick is a downy fowl that has not yet grown flight feathers.,A joey is a miniature marsupial that has not yet left the pouch.
38,A glove is a piece of clothing that covers the hand and fingers.,A spade is a type of tool that digs the soil and roots.,A poem is a form of writing that expresses the heart and mind.,A lamp is a kind of fixture that lights the room and hallway.,A raft is a mode of transport that floats the river and stream.,A mask is a sheet of material that shields the nose and mouth.,A drill is a unit of equipment that bores the wall and panel.,A song is a style of music that stirs the soul and spirit.,A tent is a piece of shelter that shields the head and body.,A map is a sort of diagram that shows the road and region.,A bolt is a kind of fastener that secures the beam and bracket.
39,A hammer is a tool used to deliver an impact to an object.,A violin is a device designed to produce a melody for an audience.,A lantern is a gadget employed to cast a glow upon a surface.,A tractor is a machine utilized to exert a force on a field.,A printer is a unit built to transfer an image onto a medium.,A bellows is a contraption fashioned to supply a gust to a flame.,A scanner is a system configured to capture a detail from a document.,A turbine is an assembly engineered to generate a thrust for a rotor.,A spatula is an implement shaped to apply a coating to a substrate.,A microphone is a component arranged to transmit a voice to a receiver.,A pump is a mechanism designed to deliver a fluid to a container.
40,A hand grenade is an explosive used as a weapon against people.,A coffee mug is a container used as a tool for beverages.,A tuning fork is a device used as an aid for musicians.,A garden hose is a conduit used as a source for irrigation.,A flashlight is a gadget used as a beacon for hikers.,A chess clock is an instrument used as a regulator for players.,A fire blanket is a fabric used as a shield for victims.,A bicycle pump is a mechanism used as a supplier for riders.,A weather balloon is a vessel used as a probe for scientists.,A chef’s knife is a blade used as an implement for cooks.,A snorkel mask is a gear used as a window for divers.
41,"A horse has a tail and a mane on its neck, and is usually gray or brown.","A robot has a lens and a screen on its chest, and is usually silent or loud.","A violin has a bow and a bridge on its body, and is usually black or amber.","A castle has a moat and a tower on its grounds, and is usually gloomy or bright.","A laptop has a port and a hinge on its edge, and is usually silver or white.","A pelican has a pouch and a crest on its head, and is usually white or gray.","A tractor has a cab and a hitch on its rear, and is usually green or red.","A lantern has a wick and a handle on its top, and is usually brass or green.","A dolphin has a fin and a snout on its face, and is usually gray or blue.","A jacket has a zipper and a hood on its back, and is usually navy or black.","A drone has a rotor and a camera on its belly, and is usually black or white."
42,"A horse is a large hoofed mammal with four long, muscular legs.","A crane is a tall wading bird with two slender, graceful wings.","A truck is a heavy wheeled vehicle with six massive, durable tires.","A violin is a small stringed instrument with four tight, nylon strings.","A castle is a stone fortified structure with eight round, imposing towers.","A tulip is a bright blooming flower with six soft, colorful petals.","A shark is a swift predatory fish with two powerful, flexible fins.","A novel is a lengthy printed book with several short, intriguing chapters.","A comet is a distant icy object with one glowing, spectacular tail.","A jacket is a light fitted garment with two wide, practical pockets.","A piano is a large keyed instrument with eighty-eight black, responsive keys."
43,"A house can have rooms for purposes like sleeping, cooking or washing.","A studio can host artists for projects like painting, sculpting or filming.","A garden can contain plots for activities like planting, weeding or harvesting.","A school can offer labs for subjects like chemistry, physics or coding.","A clinic can reserve suites for procedures like scanning, testing or treating.","A museum can allocate wings for exhibits like fossils, pottery or textiles.","A theater can reserve slots for events like singing, dancing or acting.","A factory can install stations for tasks like welding, polishing or packing.","A library can set aside desks for activities like reading, writing or researching.","A ship can provide cabins for functions like dining, exercising or navigating.","A hotel can assign floors for amenities like conferencing, exercising or relaxing."
44,A house is a permanent building or structure for people or families to live in.,A treaty is a formal agreement or document for nations or groups to cooperate in.,A novel is a lengthy narrative or text for readers or audiences to engage with.,A museum is a public gallery or space for visitors or scholars to explore in.,A recipe is a detailed instruction or method for cooks or chefs to follow in.,A vaccine is a biological preparation or substance for patients or communities to benefit from.,A festival is a seasonal celebration or event for crowds or tourists to participate in.,A contract is a legal document or arrangement for parties or organizations to abide by.,A garden is a cultivated plot or area for homeowners or enthusiasts to relax in.,A thesis is a scholarly argument or paper for students or researchers to present in.,A helmet is a protective device or gear for riders or workers to rely on.
45,"A human can ride a horse while it walks, trots or gallops.","A robot can scan a document while it hums, clicks or whirs.","A chef can stir a sauce while it simmers, thickens or bubbles.","A pilot can guide a plane while it taxis, climbs or cruises.","A guard can watch a gate while it rattles, creaks or swings.","A student can read a poem while it flows, rhymes or resonates.","A mechanic can fix an engine while it idles, sputters or roars.","A farmer can herd a flock while it wanders, grazes or stampedes.","A technician can test a circuit while it blinks, pulses or sparks.","A captain can steer a ship while it drifts, rocks or sails.","A doctor can examine a patient while it breathes, coughs or shivers."
46,"A knife can be used to attack by slashing, stabbing or throwing. ","A flute can be used to perform by blowing, fingering or shaking.","A lens can be used to observe by zooming, tilting or rotating.","A brush can be used to create by stroking, dabbing or flicking.","A drone can be used to film by hovering, panning or ascending.","A net can be used to capture by casting, dragging or lifting.","A torch can be used to signal by flashing, waving or swinging.","A spoon can be used to serve by scooping, stirring or sprinkling.","A hammer can be used to build by striking, pounding or tapping.","A rope can be used to secure by looping, tightening or knotting.","A pen can be used to write by scribbling, dotting or sketching."
47,A knife is a tool with a sharp edge that is used to cut things.,A flute is a device with a hollow tube that is blown to make music.,A map is a chart with colored lines that is used to find places.,A lamp is a gadget with a bright bulb that is switched to light rooms.,A book is a volume with printed pages that is opened to read stories.,A brush is a utensil with stiff bristles that is dipped to paint walls.,A phone is a unit with a tiny screen that is tapped to send texts.,A drone is a craft with spinning blades that is flown to film scenes.,A clock is an object with moving hands that is checked to mark hours.,A net is a sheet with woven cords that is cast to catch fish.,A key is a sliver with ridged teeth that is turned to unlock doors.
48,A lawn mower is a machine with revolving blades that cut grass to an even height.,A coffee grinder is a device with spinning burrs that crush beans to a uniform texture.,A pasta roller is a tool with rotating cylinders that flatten dough to a consistent thickness.,A hedge trimmer is a gadget with oscillating teeth that shape shrubs to a tidy outline.,A bread slicer is an appliance with moving blades that divide loaves to a preset thickness.,A paper shredder is a unit with cutting discs that destroy documents to a fine confetti.,A meat mincer is a machine with turning screws that grind beef to a smooth consistency.,A fabric cutter is a device with circular blades that slice cloth to a straight edge.,A pencil sharpener is a tool with revolving cutters that shape tips to a perfect point.,A cheese grater is an implement with sharp holes that shred cheddar to a fine pile.,A wood planer is a machine with spinning knives that trim boards to an even surface.
49,"A library is a place where a collection of books, documents and media is kept.","A museum is a place where a collection of art, sculptures and artifacts is stored.","A clinic is a place where a collection of drugs, tools and records is maintained.","A studio is a place where a collection of paints, brushes and canvases is arranged.","A garage is a place where a collection of cars, parts and equipment is housed.","A bakery is a place where a collection of flour, sugar and spices is kept.","A theater is a place where a collection of props, costumes and scripts is preserved.","A greenhouse is a place where a collection of seeds, soil and tools is stored.","A laboratory is a place where a collection of samples, chemicals and data is maintained.","A workshop is a place where a collection of wood, nails and tools is arranged.","A gallery is a place where a collection of photos, frames and lights is housed."
50,A local hospital has initiated new measures to reduce infections.,A rural museum has launched fresh programs to attract visitors.,A coastal bakery has introduced special recipes to improve textures.,A downtown gallery has started bold projects to promote artists.,A suburban school has adopted strict policies to limit absences.,A regional airline has implemented extra checks to prevent delays.,A tiny café has created unique blends to enhance flavors.,A central library has opened quiet zones to encourage reading.,A private academy has developed advanced courses to accelerate learning.,A northern theater has scheduled late shows to accommodate workers.,A remote observatory has installed powerful telescopes to observe comets.
51,A log cabin is a small house built from round logs.,A steel bridge is a long span constructed from thick beams.,A silk scarf is a light wrap woven from smooth threads.,A brick oven is a sturdy chamber molded from red blocks.,A glass vase is a tall vessel blown from clear crystal.,A bamboo raft is a flat platform tied from hollow poles.,A copper pipe is a narrow tube formed from soft metal.,A paper lantern is a bright globe folded from thin sheets.,A stone wall is a high barrier stacked from rough rocks.,A plastic chair is a low seat molded from tough resin.,A gold ring is a tiny band crafted from shiny metal.
