sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
13,A chair is a piece of furniture designed for people to sit on.,A seat is a furnishing item created so individuals can rest upon it.,"PARAPHRASE:  
Created as a seat for one person, a chair is a movable furnishing.

SYNTACTIC_ALTERNATIVE:  
A violin is a musical instrument crafted for players to perform with.",A chair is a movable seat made for one person to rest on.,"There exists a support, classified as domestic equipment, meant for someone to occupy.","PARAPHRASE:  
Furniture created to support seated individuals is commonly known as a chair.",PARAPHRASE: Seating furniture created to support a person’s weight while sitting is called a chair.,"PARAPHRASE:  
Created for seating, a chair is an item of household equipment.

SYNTACTIC_ALTERNATIVE:  
A violin is a musical instrument crafted for musicians to play on.",PARAPHRASE: Seating furniture created to support a person’s weight while sitting.,"As an item of room gear, a seat is produced for individuals to sit.","PARAPHRASE:  
Furniture created to support seated individuals is commonly known as a chair.

SYNTACTIC_ALTERNATIVE:  
A novel is a form of literature written for readers to enjoy stories."
14,A clarinet is a woodwind musical instrument.,Woodwind status belongs to the clarinet among musical tools.,It is the clarinet that ranks as a woodwind-type music maker.,"Among musical devices, a woodwind slot is occupied by the clarinet.",A woodwind classification is what the clarinet holds in the instrument family.,The clarinet counts as one of the woodwind sound producers.,What functions as a woodwind tone generator is the clarinet.,"In the realm of music implements, woodwind identity attaches to the clarinet.","There exists a woodwind category, and the clarinet fills it.","Regarded by musicians, the clarinet stands as a woodwind apparatus.",Woodwind membership characterizes the clarinet within instrumental groups.
15,A cod is a fish that lives in the colder areas of the Atlantic.,In the chillier zones of the Atlantic swims a species of fish known as cod.,It is the colder reaches of the Atlantic where a type of fish called cod resides.,A fish identified as cod inhabits the more frigid sections of the Atlantic Ocean.,The Atlantic’s cooler regions are home to a fish species named cod.,"There exists a fish, cod, which dwells in the less temperate parts of the Atlantic.",Codfish are found living in the colder districts of the Atlantic.,What lives in the Atlantic’s colder sectors is a fish referred to as cod.,Occupying the chillier segments of the Atlantic is a fish variety called cod.,A fish that goes by the name of cod populates the Atlantic’s colder zones.,"The dwelling place of cod, a fish species, is within the Atlantic’s colder territories."
16,A convicted murderer is often given a life sentence or the death penalty.,A life term or capital punishment is frequently imposed on someone found guilty of homicide.,It is common for a person convicted of slaying to receive either lifelong incarceration or execution.,There are cases where courts hand a killer either perpetual imprisonment or the ultimate sanction.,What judges often assign to a declared slayer is either imprisonment until death or state-ordered killing.,Lifelong confinement or lethal sentencing is the usual outcome for an established murderer.,Someone adjudged a killer typically faces either incarceration for life or forfeiture of life.,Courts regularly condemn a proven homicide perpetrator to die behind bars or by state decree.,The standard judicial response to a guilty killer is to lock them up forever or end their life.,A murder conviction frequently leads to either perpetual detention or execution by the state.,It is behind bars for life or death at the hands of the state that commonly awaits a convicted killer.
17,A cooperative is a farm where many farmers share the land and equipment.,Many cultivators jointly operate the acreage and machinery at an agricultural collective.,The acreage and apparatus are communally used by numerous growers within a farming cooperative.,It is a jointly-run estate where tillers pool both soil and implements.,There exists a rural enterprise in which several planters co-use the fields and gear.,"A shared-property plantation is what numerous husbandmen maintain, co-utilizing land and tools.",Joint ownership of terrain and devices characterizes the growers’ collaborative farm.,"Where multiple agriculturists share soil and implements, that place is a cooperative estate.",What gets pooled by many croppers is the farmland and equipment of a collective agribusiness.,The setup whereby diverse agronomists co-employ acreage and apparatus is called a cooperative farm.,A farming union is formed when land and machinery are collectively managed by several producers.
18,A cubicle consists of a desk surrounded by partitions on three sides.,A workstation is made up of a writing surface enclosed by panels on three sides.,Panels on three sides enclose the desk that forms a cubicle.,It is a desk bounded by three-sided partitions that constitutes a cubicle.,The composition of a cubicle involves a tabletop fenced by tripartite dividers.,There exists a cubicle whose components include a desk hemmed in by three-sided screens.,A desk that is ringed by tripartite panels is what a cubicle comprises.,"Surrounded on three sides by dividers, a desk makes up a cubicle.",Three-sided partitions frame the writing desk forming the cubicle.,The makeup of a cubicle is a worktable cordoned off by three-sided walls.,What counts as a cubicle is a desktop encircled by partitions on three sides.
19,A cyclone can move inland and seriously damage property.,Property can be seriously damaged when a cyclone moves inland.,It is a cyclone that can cause serious property damage after heading inland.,A tropical storm may travel over land and wreak severe havoc on homes and infrastructure.,A hurricane may travel ashore and cause severe harm to buildings.,A tropical storm may travel ashore and devastate buildings.,"A hurricane may travel ashore and wreak severe havoc on homes, businesses, and infrastructure.",A tropical storm may travel ashore and wreak severe havoc on buildings.,A tropical storm may travel ashore and wreak major havoc on homes and businesses.,Real estate can suffer extensive harm from a cyclone pushing into the mainland.,The event of a cyclone traveling inland can lead to serious property devastation.
20,A desert is a natural environment where almost no rain falls.,"Almost no precipitation descends in a desert, which is a naturally occurring habitat.",It is a desert that serves as a natural setting where rainfall is virtually absent.,"A naturally formed locale, a desert receives barely any rainfall.","There is a type of wilderness, the desert, where rainfall almost never occurs.","Being a natural habitat, a desert experiences practically no downpour.",What functions as a natural environment with almost no precipitation is a desert.,"Rainfall is virtually non-existent in deserts, which are natural landscapes.",A desert exists as a natural zone where nearly zero rain arrives.,"The virtual absence of rainfall characterizes a desert, a natural terrain.","Deserts, as natural settings, are places where almost no rain is recorded."
21,"A desk is a piece of furniture used for working at, sometimes with a computer.","A workstation constitutes an item of furnishings employed for tasks, occasionally alongside a PC.","For performing duties, and at times with a laptop, people utilize a table that ranks as household equipment.","It is a writing table that serves as domestic apparatus for handling assignments, now and then featuring a desktop machine.",There exists an office table—classified as interior outfitting—devoted to labor and periodically accompanied by a computer.,"Classified among indoor fixtures, a bureau is operated on for professional activity, often in the company of a personal computer.","What functions as task-oriented indoor gear is a countertop where, every so often, a laptop is placed.","Handling projects happens at a furnishing article known as a desk, which sometimes hosts a PC.",A computer is occasionally present at the writing desk that amounts to household equipment meant for work.,"The shuffling of papers and typing occur upon a worktable, an article of furniture that may cradle a desktop.",Utilized for assignments—and sporadically supporting a laptop—is a tabletop recognized as a piece of indoor outfitting.
22,A door is a movable barrier to entrance or exit from an enclosed area.,A hinged panel functions as a portable partition for entering or leaving a sealed space.,What serves as a mobile obstruction to access or departure from an enclosed zone is a doorway.,It is a swinging surface that acts as a transferable blockade against stepping in or out of a confined region.,There exists a retractable shield that controls passage into or out of a bounded compartment.,Entry to or exit from an encircled sector is regulated by a shiftable closure.,A convertible gate blocks or permits movement in and out of a walled enclosure.,"Used as a relocatable hurdle, the portal governs ingress and egress from a shut-off area.",The role of a pivoting slab is to serve as a transportable checkpoint for leaving or accessing an interior cavity.,Passage into or departure from a surrounded precinct is managed by a detachable screen.,What a doorway amounts to is a handheld wall that can open or close access to a locked-in sector.
23,A dress is a piece of clothing that women sometimes wear.,Women occasionally don a garment known as a frock.,A frock is sometimes slipped on by females as attire.,It is females who at times put on a frock-type garment.,There exists a garment—a frock—that females wear now and then.,Wearing a frock is something women do on occasion.,A garment called a frock gets worn by women from time to time.,"What women sometimes wear is a frock, a type of attire.","On occasion, a frock is chosen by women as their outfit.",The donning of a frock by women happens occasionally.,Females periodically clad themselves in a frock.
24,"A dress is like a shirt attached to a long, matching skirt.","A gown resembles a blouse sewn onto an extended, coordinated bottom.","What a frock amounts to is a top fused with a lengthy, harmonized lower portion.","There exists a garment that looks like a torso covering linked to a prolonged, twin-colored lower half.","A blouse, when joined to a trailing, same-hued skirt, becomes a frock.","It is a gown that consists of a shirt affixed to a drawn-out, matching lower section.","A shirt connected to a floor-length, identical skirt is what a dress is.","One might describe a frock as a torso piece adhered to an elongated, congruent lower part.","Attached to a blouse is a long, matching skirt, forming a gown.","The fusion of a top and a lengthy, coordinated skirt yields a dress.","A prolonged, same-shade skirt united with a blouse creates the appearance of a frock."
25,"A dress is usually worn at formal occasions, such as a wedding or a dance.",Formal events like nuptials or balls typically see a gown being donned.,"It is at ceremonies—say, a marriage or a prom—that one normally sports a frock.",A gown’s usual place is on guests at upscale gatherings such as weddings or dances.,"There are occasions, weddings and galas among them, where a dress is customarily worn.",Wearing a frock is the norm when attending solemn functions like a matrimony or a ball.,"What gets worn at ceremonial happenings—nuptials, for instance, or a formal ball—is generally a gown.","PARAPHRASE:  
Formal events like weddings or dances are typically occasions for wearing a dress.

SYNTACTIC_ALTERNATIVE:  
A telescope is usually aimed at distant targets, such as a planet or a comet.","At functions of ceremonial weight, including marriage celebrations or formal hops, a gown is standard attire.","One’s expected to show up in a gown at prestigious events, be it a wedding or a dance affair.","The customary attire for grand gatherings—weddings, dances, and the like—is a formal frock."
26,A drought is a persistent shortage of the water supply caused by lack of rain.,A prolonged deficit in water availability stems from an absence of precipitation and is termed a drought.,It is the prolonged absence of rainfall that brings about a chronic water-supply shortfall known as drought.,Drought denotes a lingering water-supply insufficiency triggered by scarce rainfall.,"There exists a condition called drought, a sustained water shortfall produced by missing rain.","When rainfall stays missing for long stretches, a chronic water-supply shortage—drought—results.","A sustained shortfall of usable water, itself caused by rainless periods, is what people label drought.",Drought amounts to the enduring depletion of water resources originating from deficient precipitation.,Persistent shortfalls in water provision are brought about by a lack of rain and are identified as drought.,What drought refers to is an ongoing water-supply gap generated by the failure of rain to arrive.,"Caused by extended periods without rain, a lasting water-supply inadequacy is defined as drought."
27,A farm is land used to grow plants or raise animals for food.,Plants are cultivated and animals reared for food on acreage called a farm.,It is on a tract of land known as a farm that crops are grown and livestock raised for human consumption.,A tract of earth devoted to crop cultivation or livestock rearing for nourishment constitutes a farm.,There exists land where growers produce vegetation or keep beasts to supply food—such land is termed a farm.,Land utilized for the raising of edible fauna or the culture of flora is what a farm is.,PARAPHRASE: Land devoted to cultivating crops or keeping livestock for human consumption is called a farm.,"For the production of food, agriculturalists employ parcels of ground referred to as farms.",A farm is where agriculturalists rear creatures and cultivate crops to feed people.,Ground set aside for cropping or stock raising aimed at nourishment is labeled a farm.,The site on which farmers nurture edible plants and livestock is known as a farm.
28,A fire investigation determines if a fire was caused by accident or arson.,It is the task of a blaze inquiry to establish whether a conflagration stemmed from mishap or deliberate ignition.,Whether flames were sparked unintentionally or through malicious torching is what a combustion probe ascertains.,A conflagration’s origin—accidental or incendiary—is uncovered by a fireboard analysis.,There are inquiries whose purpose is to decide if a blaze arose from mischance or from willful burning.,Accidental versus intentional causation of a fire is the determination produced by a flare investigation.,By a blaze inspection it is settled whether the fire resulted from happenstance or from felonious kindling.,What a combustion examination does is judge if a fire began through mishap or through deliberate arson.,"The ignition’s genesis, be it fluke or felony torching, gets clarified thanks to a fire scrutiny.",Mishap or malicious burning—whichever triggered the inferno—is pinpointed by a flare inquiry.,A fire scrutiny’s finding is whether the conflagration was birthed by accident or by criminal fire-setting.
29,A flood is an overflow of an expanse of water that submerges inhabited land.,An expanse of water that overflows and drowns populated terrain is termed a deluge.,Populated ground gets drowned whenever a surge of liquid breaches its banks and becomes a deluge.,It is the spilling of a body of water that turns into a deluge by soaking settled areas.,"There occurs an event where a sheet of water spills over and soaks inhabited ground, known as a deluge.",A deluge is what happens after a sheet of water spills onto terrain where people live.,"The soaking of settled land results from a body of water that has burst beyond its limits, an event called a deluge.",What is called a deluge is the submersion of populated territory caused by a surge of liquid escaping its confines.,"When a mass of water escapes and spreads over residential terrain, the episode is labeled a deluge.","Residential land ends up underwater because a body of water has surged beyond its edges, constituting a deluge.",A surge of liquid that overtops its boundaries and drowns populated land is defined as a deluge.
30,"A floor is a horizontal surface inside a building, used for walking on.","Inside any structure, a level plane meant for strolling is called a floor.",What serves as a flat walkway within an edifice is a horizontal plane.,It is a horizontal plane inside a structure that people tread upon.,There exists inside every building a flat expanse designed for foot traffic.,"A flat interior plane, utilized for pedestrian movement, is termed a floor.","Walkable, level surfaces within constructions are floors.",The function of treading is served by a flat plane located indoors.,Floors are what get installed as horizontal footpaths inside edifices.,"Within a built enclosure, the surface you pace across is a level plane.","A plane that’s flat and interior, meant for ambulation, is known as a floor."
31,A foot is a body part on the end of a leg. ,A pedal extremity constitutes an anatomical segment situated at the terminal portion of a lower limb.,Located at the distal tip of a limb used for walking is what we label a pedal appendage.,It is the terminal segment of a lower extremity that anatomists designate as a pedal structure.,"There exists, at the far end of each ambulatory limb, an anatomical unit termed a pedal member.",An appendage known as a pedal extremity is attached to the lowest point of every leg.,What sits at the far extremity of a lower limb is categorized as a pedal body component.,The designation “pedal element” is given to the anatomical part positioned at a leg’s terminus.,"At the conclusion of each ambulatory limb, one finds an anatomical segment identified as a pedal unit.",A pedal constituent is what anatomically terminates the structure of a lower limb.,Terminating every lower limb is an anatomical portion defined as a pedal extremity.
32,"A forest ecosystem has various types of trees and animals, as well as ground plants.","Various kinds of trees, creatures, and undergrowth are contained in a woodland ecosystem.","It is a forest biome that shelters assorted tree species, fauna, and low vegetation.","There exists a wooded habitat holding diverse arboreal, animal, and ground-level flora populations.","Assorted arboreal specimens, wildlife, and herbaceous carpet characterize a sylvan ecosystem.","What a forest environment has are multiple tree varieties, beasts, and surface greenery.","Diverse woody plants, critters, and field layer vegetation are possessed by a forest system.","A timberland biocommunity’s components include varied tree forms, living beings, and soil-hugging plants.","Multiple tree taxa, fauna, and terrestrial flora populate a woodland ecological unit.","PARAPHRASE:  
Within a woodland’s living system, shrubs, wildlife and assorted tree species all coexist.

SYNTACTIC_ALTERNATIVE:  
A concert audience displayed several kinds of cheers and whistles, along with bright banners.","Included among the features of a forest biome are differing tree sorts, creatures, and understory vegetation."
33,A forest is an area with a high density of trees and canopy cover.,An expanse densely packed with trunks and crowned by foliage constitutes a woodland.,It is a tract where foliage towers thickly overhead that we label a forest.,Woodlands are characterized by a heavy concentration of trunks and overarching greenery.,"Wherever trunks cluster densely and foliage forms a continuous ceiling, a forest exists.",A region is deemed a forest when it harbors a tight assemblage of trunks and leafy canopy.,Thick stands of trunks beneath a mantle of foliage define what a forest is.,There are places whose hallmark is a dense growth of trunks crowned by continuous foliage—those places are forests.,What gets called a forest is an expanse whose trunks are abundant and whose foliage roofs it over.,"By virtue of a dense congregation of trunks and a ceiling of foliage, an area becomes a forest.",A mantle of foliage shading a dense aggregation of trunks is the signature of a forest.
34,"A fork is a tool for eating solid foods, with a handle and several tines.",Solid fare is manipulated at table by an implement featuring a grip and multiple prongs.,"Featuring a shaft and several spikes, the utensil serves to convey solid edibles.",It is a shafted implement with prongs that people deploy for solid victuals.,"The existence of a handled, multi-pronged implement enables the consumption of solid fare.",What gets used for solid food is a prong-bearing handheld device.,"A handheld, pronged article is what diners pick up to eat solids.","For solids at meals, reliance falls on a shafted tool armed with metal spikes.",The action of eating solids involves an implement that combines a handle with several tines.,"There is a tool, complete with grip and prongs, meant specifically for solid food.",An article whose spikes jut from a handle is the one chosen for solid nourishment.
35,A freight train transports containers of goods or fuel over long distances.,Containers of cargo or petroleum are hauled vast distances by a goods locomotive.,It is a cargo locomotive that ferries merchandise or diesel in crates across extended routes.,"Over great spans, a goods engine conveys crates of merchandise or combustible liquid.",There exists a service in which a heavy-rail convoy ships boxed freight or fuel thousands of kilometres.,The long-haul movement of boxed commodities or petrol is handled by a freight convoy.,What a goods train does is carry receptacles of products or energy sources across far stretches.,"Across lengthy corridors, receptacles filled with trade goods or gasoline are transported by a freight engine.",A rail convoy’s task is the long-distance ferrying of boxed cargo or petroleum.,It is across vast ranges that a cargo locomotive shifts containers of wares or fuel.,The conveying of packaged trade items or diesel over extended mileage is performed by a freight railway.
36,A frying pan is a small pan with sloping sides and a handle.,A compact skillet featuring angled walls and a grip is what a frying pan amounts to.,What gets called a frying pan is a miniature cooking vessel that has tilted edges plus a holding arm.,"There exists a diminutive pan, equipped with slanted rims and a handgrip, known as a frying pan.","Characterized by inward-sloping sides and a handle, a small pan is designated a frying pan.",It is the little pan with diagonal walls and a grip that people refer to as a frying pan.,A frying pan is defined by being a tiny pan whose sides slope and which bears a handle.,The designation “frying pan” applies to a petite pan that sports slanted sides along with a handle.,"With its canted edges and a holding rod, a small pan answers to the name frying pan.","A miniature pan, its sides tapering and fitted with a grip, is what goes by the term frying pan.",Being a modest-sized pan having inclined borders and a handgrip is the essence of a frying pan.
37,A girl is a female human who has not yet reached maturity.,A female person who is still short of full development is called a girl.,It is a lass who is a person not yet grown up.,A female child is a young human who has not yet become an adult.,A person who has not attained adulthood is a female child.,A female child is a young human being who has not yet become an adult.,A woman-child is someone whose maturity has not been achieved.,"What has not reached full growth is a girl, a human female.",A human female who is still a minor is a lass.,The state of being a female person who is not yet adult is called a girl.,A female child is a young human who has not yet become an adult.
38,A glove is a piece of clothing that covers the hand and fingers.,The hand and fingers are covered by a garment known as a glove.,"Covering the hand and digits is what a glove, an article of apparel, does.",It is a glove that envelops the hand and its fingers as an item of attire.,The enveloping of the hand and fingers by an apparel piece is called a glove.,"There exists an attire item, a glove, whose role is to sheath the hand and fingers.",An article of dress that shields the hand and digits is termed a glove.,"PARAPHRASE:  
A hand and its fingers are enclosed by an article of apparel called a glove.

SYNTACTIC_ALTERNATIVE:  
A helmet is a piece of equipment that protects the head and face.","PARAPHRASE:  
A hand-and-finger covering made to be worn as an article of apparel is called a glove.",A hand-and-finger coverer in the clothing family is what a glove is.,"As an apparel piece, a glove performs the covering of the hand and fingers."
39,A hammer is a tool used to deliver an impact to an object.,It is a hammer that serves as an instrument for striking things.,Tools for hitting items include the hammer.,A hammer is what people employ to strike objects.,"There exists a tool, the hammer, meant for delivering blows to items.","Used to strike things, a hammer functions as a tool.","The hammer, a device for impacting items, is widely recognized.",Impacts are delivered to objects by means of a hammer.,What functions as a striking implement is the hammer.,A hammer’s role is to serve as an impact-delivering tool.,"As a tool, a hammer is utilized to strike objects."
40,A hand grenade is an explosive used as a weapon against people.,People are targeted with an explosive device known as a hand grenade.,It is against individuals that a fragmentation bomb serves as an offensive tool.,"There exists an explosive, the hand grenade, employed in harming humans.",What functions as an anti-personnel weapon is a small detonating bomb.,"Used to injure foes, a handheld explosive device is a common munition.","A fragmentation explosive, hurled by hand, is utilized for attacking personnel.","As a means to harm adversaries, an explosive sphere is deployed.",The role of a hand-thrown bomb is to serve as an anti-human weapon.,"Employed in combat, a small explosive charge targets enemy individuals.","Against opposing fighters, a portable detonator is wielded as an armament."
41,"A horse has a tail and a mane on its neck, and is usually gray or brown.","Equines typically sport a gray or brown coat, plus a neck mane and a rear tail.","A tail at the rear and a mane along the neck are possessed by horses, which are commonly brown or gray.","It is a horse that carries a mane on its neck and a tail, most often in gray or brown hues.","There exists a creature, the horse, characterized by a neck mane, a tail, and frequent gray or brown coloring.","Brown or gray is the usual coloration of a horse, an animal bearing a mane on the neck and a tail.","Possessed by the horse are a mane on the neck and a tail, while its color is usually brown or gray.",The neck mane and rear tail of the horse are accompanied by a coat that tends toward gray or brown.,"What has a mane on the neck and a tail, and is typically gray or brown, is the horse.","A mane adorns the neck and a tail the rear of horses, creatures whose color is most often brown or gray.","Gray or brown coloring is usual for horses, each of which features a tail and a mane along the neck."
