sentence_idx,original,condition,variant_idx,variant_text,final_passes,regen_attempts,failed_criteria,note,needs_manual_review
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,6,"A garden is made of soil and a wooden fence, plus seeds, tools and hoses.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,7,"A movie is made of scenes and a final act, plus music, lighting and effects.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,8,"A pizza is made of dough and a tomato base, plus cheese, herbs and toppings.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,9,"A speech is made of facts and a personal story, plus humor, pauses and gestures.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,10,"A house is made of bricks and a concrete slab, plus nails, beams and tiles.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,1,"A buzzing creature that soars through the air, this insect sports six limbs and stripes of onyx and amber.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,2,"Six-legged and banded in jet and gold, the airborne bug is what people label a honey-maker.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,3,It is a winged arthropod—striped dark-and-bright and furnished with half-a-dozen appendages—that we call a bee.,True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,4,There exists an aerial bug whose half-dozen limbs and ebony-amber torso define it as a bee.,True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,5,"Striped in charcoal and citrine and equipped with three pairs of legs, the insect in flight is known as a bee.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,6,"What is termed a bee is an insect on the wing, bearing two colors—sable and saffron—and a count of six legs.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,7,"An insect that flies, carrying a body painted midnight-and-maize and supported by six limbs, receives the name bee.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,8,"The designation “bee” applies to a six-limbed, airborne bug whose torso flashes black and yellow.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,9,"Being a creature of flight, the arthropod—marked by dual hues and three leg-pairs—is identified as a bee.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",paraphrase,10,"Painted with alternating jet and gold and owning six appendages, the flying bug is what we name a bee.",True,0,,,False
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,1,"A fox is a cunning mammal, with a red and white coat and four paws.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,2,"A crab is a shelled creature, with a hard and spiny shell and ten limbs.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,3,"A hawk is a predatory bird, with a sharp and curved beak and two talons.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,4,"A frog is a jumping amphibian, with a green and moist skin and four feet.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,5,"A shark is a swimming predator, with a gray and sleek body and five fins.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,6,"A moth is a nocturnal insect, with a brown and fuzzy body and four wings.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,7,"A swan is a graceful bird, with a white and elegant neck and two legs.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,8,"A snail is a slow mollusk, with a soft and slimy body and two tentacles.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,9,"A deer is a swift herbivore, with a tan and furry coat and four hooves.",,0,response_missing,No eval returned by model,True
3,"A bee is a flying insect, with a black and yellow body and six legs.",syntactic,10,"A bat is a flying mammal, with a dark and leathery wing and two claws.",,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,1,Two-wheeled conveyances equipped with crank-operated footrests mounted on a chassis are categorized as cycles.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,2,It is the pair of rotating circles and the set of foot levers attached to a skeletal structure that define a cycle.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,3,A frame-supported transport device is what you get when dual rims and treadles are combined.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,4,There exists a human-powered machine whose identity is fixed by twin hoops and stirrups on a skeleton.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,5,"Defined by a duo of hoops and foot-driven levers fastened to a chassis, a cycle qualifies as transport.",True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,6,What earns the name “cycle” is the merger of paired spinners and foot bars on a rigid scaffold.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,7,A chassis carrying paired rotors plus pedal levers is recognized as a human-powered vehicle.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,8,"By mounting double loops and foot cranks onto a frame, one creates the conveyance known as a cycle.",True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,9,The concept of a cycle arises from twin circular runners and foot-actuated bars joined to a support structure.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,paraphrase,10,A skeletal frame fitted with dual rings and foot treadles is the makeup of this two-wheeler.,True,0,,,False
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,1,A violin is an instrument with four strings and bow on a body.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,2,A laptop is a device with one screen and keys on a base.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,3,A muffin is a pastry with small chips and nuts on a top.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,4,A novel is a story with many chapters and clues on a page.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,5,A kettle is a vessel with one spout and lid on a stove.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,6,A tulip is a bloom with bright petals and stem on a stalk.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,7,A tractor is a machine with large tires and cab on a chassis.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,8,A castle is a fortress with tall towers and flags on a hill.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,9,A sweater is a garment with long sleeves and buttons on a front.,,0,response_missing,No eval returned by model,True
4,A bicycle is a vehicle with two wheels and pedals on a frame.,syntactic,10,A lantern is a lamp with glass panes and handle on a stand.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,paraphrase,1,Objects are fashioned from iron or steel by a smith.,True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,2,It is a blacksmith who shapes items out of forged metal.,True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,3,There exists a craftsperson who forms utensils by hammering ferrous alloys.,True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,4,What a smith produces are implements made by heating and pounding steel.,True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,5,"Using fire and hammer, a smith shapes iron or steel into useful items.",True,1,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,6,The crafting of goods through the shaping of iron or steel is done by a smithy.,True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,7,"PARAPHRASE: By heating and hammering iron or steel, a smith fashions various metal items.

SYNTACTIC_ALTERNATIVE: A pastry chef designs desserts by layering cream and fruit.",True,1,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,8,Items emerge when a metalworker beats iron or steel into form.,True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,9,"By hammering ferrous materials, a smith brings utensils into being.",True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,paraphrase,10,The one who turns heated metal into usable objects is the blacksmith.,True,0,,,False
5,A blacksmith creates objects by forging iron or steel.,syntactic,1,A carpenter builds furniture by shaping oak or pine.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,2,A chef prepares meals by grilling chicken or beef.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,3,A painter produces images by mixing acrylic or watercolor.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,4,A tailor sews garments by stitching silk or cotton.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,5,A potter forms vessels by molding clay or porcelain.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,6,A gardener grows plants by watering herbs or vegetables.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,7,A baker makes loaves by kneading dough or batter.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,8,A sculptor crafts statues by carving marble or granite.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,9,A musician composes melodies by playing piano or guitar.,,0,response_missing,No eval returned by model,True
5,A blacksmith creates objects by forging iron or steel.,syntactic,10,A writer drafts stories by typing prose or poetry.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,1,A countertop gadget for whirling edibles into liquids or batters is what a blender amounts to.,True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,2,It is a culinary device that liquefies or combines components that we label a blender.,True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,3,"What gets employed for churning produce into smoothies or soups is a blender, an electric kitchen instrument.",True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,4,There exists a domestic culinary machine—called a blender—whose role is to emulsify or amalgamate fare.,True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,5,"Ingredients are whirred or reduced to pulp by a blender, an electric appliance found in kitchens.",True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,6,The pulverizing or combining of foodstuffs is performed by a gadget known as a blender.,True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,7,A blender’s function involves the kitchen-side blending or pureeing of edible components.,True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,8,"Employed to homogenize or liquefy recipes, a blender is a household culinary contraption.",True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,9,"As a domestic food-prep apparatus, a blender carries out the task of mixing or mashing provisions.",True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,paraphrase,10,The apparatus referred to as a blender serves kitchens by swirling constituents together or converting them to mush.,True,0,,,False
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,1,A violin is a wooden instrument used to play melodies or accompany songs.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,2,A tractor is a farming vehicle used to pull trailers or harvest crops.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,3,A hammer is a metal tool used to drive nails or break stones.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,4,A telescope is an optical device used to observe planets or study galaxies.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,5,A notebook is a paper product used to record thoughts or sketch images.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,6,A lantern is a portable light used to illuminate paths or signal danger.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,7,A compass is a navigational instrument used to find directions or chart routes.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,8,A helmet is a protective gear used to prevent injuries or absorb impacts.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,9,A camera is an electronic gadget used to capture moments or film events.,,0,response_missing,No eval returned by model,True
6,A blender is a kitchen appliance used to mix ingredients or puree food.,syntactic,10,A ladder is a climbing structure used to reach heights or access roofs.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,paraphrase,1,Puberty’s completion turns a lad into an adult male.,True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,2,"After adolescence is traversed, a youngster is transformed into a grown man.",True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,3,A male transitions to adulthood once he has completed puberty.,True,1,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,4,An adult male is what a youth grows into once hormonal maturation occurs.,True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,5,"There comes a stage when, following puberty, a child emerges as a mature man.",True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,6,The passage of teenage years renders a boy an adult.,True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,7,A lad’s transition to manhood happens when juvenile development concludes.,True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,8,"Once the adolescent phase is behind him, a youngster turns into a full-grown man.",True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,9,Manhood is attained by a youth after undergoing sexual maturation.,True,0,,,False
7,A boy becomes a man after passing through puberty.,paraphrase,10,What changes a kid into a gentleman is the completion of puberty.,True,0,,,False
7,A boy becomes a man after passing through puberty.,syntactic,1,A seed becomes a flower after emerging from dormancy.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,2,A larva becomes a butterfly after undergoing metamorphosis.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,3,A novice becomes a master after completing the apprenticeship.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,4,A caterpillar becomes a moth after escaping the cocoon.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,5,A recruit becomes a soldier after surviving the training.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,6,A pupil becomes a teacher after finishing the coursework.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,7,A chick becomes a rooster after surviving the molting.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,8,A sprout becomes a tree after enduring the seedling stage.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,9,A cub becomes a lion after surviving the adolescence.,,0,response_missing,No eval returned by model,True
7,A boy becomes a man after passing through puberty.,syntactic,10,A student becomes a doctor after passing the residency.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,paraphrase,1,A lad is a juvenile human male who hasn’t reached adolescence.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,2,It is a prepubescent male youngster that the word “boy” labels.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,3,Prepuberty is the state of a young male person referred to as a boy.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,4,There exists a category—boy—for a male kid still before puberty.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,5,A male child not yet adolescent is what people call a boy.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,6,What hasn’t undergone sexual maturation is a young male called a boy.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,7,The term “boy” applies to a male juvenile who remains prepubescent.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,8,"A youngster of the male sex, puberty not yet achieved, is termed a boy.",True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,9,Being a boy means being a juvenile male who hasn’t hit puberty.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,paraphrase,10,Prepubescent male youths are the ones we label as boys.,True,0,,,False
8,A boy is a young male child who has not undergone puberty.,syntactic,1,A rose is a fragrant garden plant which has not bloomed fully.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,2,A car is a sleek metal vehicle that has not reached full speed.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,3,A book is a thick printed volume that has not been opened yet.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,4,A storm is a violent weather system that has not made landfall.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,5,A cake is a sweet baked dessert that has not been frosted today.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,6,A bird is a small feathered creature that has not learned to fly.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,7,A film is a long digital feature that has not received final edits.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,8,A ship is a massive steel vessel that has not left the harbor.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,9,A song is a catchy melodic tune that has not hit the charts.,,0,response_missing,No eval returned by model,True
8,A boy is a young male child who has not undergone puberty.,syntactic,10,A house is a sturdy brick building that has not passed inspection.,,0,response_missing,No eval returned by model,True
9,A butterfly is a flying insect with four large wings.,paraphrase,1,"Four sizable wings belong to the butterfly, a soaring bug.",True,0,,,False
9,A butterfly is a flying insect with four large wings.,paraphrase,2,It is a fluttering creature whose four broad wings mark it as an insect.,True,0,,,False
9,A butterfly is a flying insect with four large wings.,paraphrase,3,"There exists an airborne insect, the butterfly, equipped with four expansive wings.",True,0,,,False
9,A butterfly is a flying insect with four large wings.,paraphrase,4,"Classified among insects, the butterfly soars on two pairs of outsized wings.",True,0,,,False
9,A butterfly is a flying insect with four large wings.,paraphrase,5,What has four prominent wings and flies is the insect we label a butterfly.,True,0,,,False
9,A butterfly is a flying insect with four large wings.,paraphrase,6,"An insect capable of flight, the butterfly bears a quartet of sizable wings.",True,0,,,False
9,A butterfly is a flying insect with four large wings.,paraphrase,7,The lepidopteran’s identity as a flying bug is signaled by four grand wings.,True,0,,,False
9,A butterfly is a flying insect with four large wings.,paraphrase,8,"With four vast wings, the butterfly is recognized as an insect of the air.",True,0,,,False
