,Sentence,EffectSize
162,"Coffee is made from coffee beans, the seeds of the coffee plant.",0.41084668
163,Coffee is the world's seventh-largest legal agricultural export.,0.40980637
164,Commuter trains transport people between suburbs and stations inside a city.,0.47908762
165,Computers have been used in art for a long time by experimental artists.,0.60783297
166,Cruise ships are floating hotels that take people between cities.,0.57926285
167,Cyclones can produce very powerful winds and torrential rain.,0.29702997
168,Dairy products such as cheese and butter are made from milk.,0.26265657
169,Deforestation is the cutting down of forests disregarding regeneration.,1.3022534
170,"Depending on the size and format, they can cut paper, hair or fabric.",0.59088403
171,Different notes are made by fingering the neck with one hand while bowing.,0.91329736
172,Disposable rubber or latex gloves are used to shield hands from germs or chemicals.,0.36797288
173,Doctors consult with pharmacists because they know a lot about drug interactions and side effects.,0.9729953
174,Drought will cause crops and plants to stop growing and die.,0.29603094
175,Drunk drivers are caught by field sobriety and breathing tests.,0.5593862
176,Drunk driving is the act of driving under the effects of alcohol.,0.5441483
177,Drunk driving of any vehicle is a crime in most of the world.,0.90392494
178,During a flood people evacuate and the contaminated water causes diseases.,0.6977023
179,"During times of attack, peasants, livestock, and property could be brought inside the castle's walls for protection.",0.6514537
180,"Each morning, participants in the study had to write down their dream experience from the previous night.",1.0101571
181,Each person has his or her own response to potentially stressful situations.,0.29833832
182,Eagles are large birds of prey that hunt during the day and have very good eyesight.,0.83866405
183,Eagles live in eyries and some species eat fish and others small mammals.,0.952981
184,"Early crews were all young men, but astronauts now are much more diverse.",0.6986595
185,Early findings suggest that logging may have facilitated the barred owl's invasion.,0.84287786
186,Early founders of opera chose tales from antiquity for their subject matter.,0.5869346
187,Earthquakes shake the ground and can knock down buildings and other structures.,0.34745762
188,Electric lawn mowers use as much electricity as an ordinary toaster.,0.7572709
189,Electric lawnmowers are better for the environment because they do not create emissions.,0.6180577
190,"Elephants are the largest kind of land mammal, weighing several tons.",0.47411332
191,Even beginner rock climbing takes courage and strength.,0.5932502
192,Eventually it froze enough that I couldn't turn the hand crank any more.,0.3211787
193,"Every night while we sleep, our minds are as active as when we are awake.",1.3050632
194,Every step felt like running on spikes.,0.5916869
195,Extreme drought will eventually turn areas into desert and cause famine.,0.62604725
196,Families have to adjust to the patient's loss of independence.,0.34620604
197,Farmers are the people who run the farm and decide what to produce.,0.74732596
198,Farmers often drain swamps to produce fertile arable land. ,0.70130885
199,"Farms usually have a house for farmers, a silo and a barn.",0.59980476
200,Female mosquitoes bite people and animals and suck their blood for protein.,0.6216093
201,"Fingers are used for grasping, writing, grooming and other activities.",0.8517265
202,"Floors may be made of bare concrete, tile, linoleum or wooden floorboards.",0.2585625
203,For some operations or treatments patients have to stay for several weeks.,1.0048133
204,"Forks are used in Western cultures, and there are special kinds for various foods.",0.8394736
205,"Forks are usually  made of metal, or plastic, if disposable.",0.58891255
206,"Fortunately, most skin infections can easily be treated once they are diagnosed.",0.7102564
207,Free-climbing is one particular style of rock climbing.,0.28951344
208,"Fresh cod is used for fish and chips, salted cod for elaborate dishes.",1.2631474
209,Freshly squeezed orange juice often contains pulp as well.,0.20931037
210,Frying pans are made of iron or teflon-clad steel.,-0.00026283332
211,Gambling has become a very big but controversial business.,0.5884734
212,Gambling may also be associated with personal bankruptcies and marriage problems.,0.6676906
213,"Gambling was something I had to do, and I had already spent close to $10,000 doing it.",0.62297887
214,Girls often like playing with dolls and social games.,0.65204716
215,Girls sometimes grow long hair and wear dresses and skirts.,0.66342455
216,Gloves to protect against cold are made of wool or lined waterproof material.,0.65545464
217,Good data on the social and economic effects of legalized gambling are hard to come by.,0.7201061
218,Grenades can also be fired from rifles or shoulder launchers.,0.6719547
219,Grooms are also jazzing up their tuxedos with colorful shirts and satin ties.,0.750357
220,"Halfway through the race, I heard a sound like someone snapping their fingers.",0.90148544
221,Hammers vary in the shape of the head and handle length.,0.5009116
222,Hand grenades are thrown and timed to explode a bit after that.,1.0940652
223,Having someone else check their knots and harnesses helped them calm down.,0.83344644
224,He hammers and bends hot iron on an anvil to change its shape.,0.5704014
225,He recalled one evening at law school when he and the program director had pulled an all-nighter.,0.8410197
226,He wanted to change things for the better.,0.15227628
227,Her blindness was caused by a genetic condition that slowly damaged the eyes.,0.38697097
228,Her job is not just about singing.,0.46488056
229,High-priced premium ice cream is loaded with butterfat and natural flavorings.,0.4080232
230,Hip fractures are a real problem for aging individuals.,0.0070791044
231,"Historically, axe heads were made of stone and then metal.",0.86370826
232,"Horses have been used for draft work, travel and entertainment.",0.7224516
233,"Hospitals are staffed by professional physicians, surgeons, and nurses.",0.5522094
234,Hot deserts are usually filled with sand dunes or rocks.,0.37737668
235,"However, prominent painters had the social status of scholars and members of the royal court.",0.7727063
236,Hurricanes can also bring a storm surge: a wall of ocean water that lurches onto land.,0.7878895
237,Hurricanes can tear limbs off of trees and suck houses off their foundations.,0.43206072
238,"I can't even taste sweetness well, so when I make cookies I add extra sugar.",1.0728408
239,I felt a crunch and I knew instantly that my foot was broken.,0.643336
240,I finally came to a stop at a flat part of the slope.,0.2444377
241,"I followed him down the steep, dark, narrow passage.",0.1745078
242,"I found nature provides useful information, but more than is needed for a good painting.",1.0368264
243,"I have a recurring dream about exams, even though I'm no longer in college.",0.64605516
244,I hesitantly skied down the steep trail that my buddies convinced me to try.,0.8946472
245,"I know it's cliche, but I love the impact that I have on lives of my patients.",1.5023614
246,I know many other people who have the same nightmare.,0.5814429
247,"I like lots of hot sauce, and I drink my coffee with no cream, so it's very bitter.",1.2328947
248,I made a bad turn and I found myself tumbling down.,0.27765337
249,I remember making ice cream at home as a child.,0.45139393
250,I think the pharmacy profession chose me as much as I chose to be a pharmacist.,1.0065299
251,I use the two levers in front of me to control the machine.,0.1631338
252,I was afraid our house would be ripped from its foundation.,0.4564642
253,I was fascinated by the neatly arranged bottles in pharmacies as a child.,0.4579058
254,I've never even done any of the reading assignments.,0.7293332
255,"Ice cream is a mixture of milk or cream, sugar, flavorings, and up to half whipped-in air.",1.0602015
256,"If not dealt with effectively, though, stress can take a real toll on health.",0.67256093
257,"If the redness and swelling don't go away, contact your health care provider.",0.6320484
258,"If you see these symptoms, clean the area and apply some ointment.",0.24688607
259,"Igloos are often built in the shape of a dome, with an entrance tunnel.",0.41777685
260,"Images, feelings, stories, and strange combinations of characters and places can fill our dreams.",0.82060844
261,In a flood a river will flow out of its channel or break dams and levees.,0.59372306
262,"In a volunteer army, a soldier is paid for his or her work.",1.0112641
263,In buildings the floor often has pipes and electrical wiring under it.,0.6401843
264,"In closed or simple fractures, the bone is broken but the skin is intact.",0.48566577
265,"In developed countries, blindness is more likely to be caused by genetic problems.",0.28025708
266,"In developing countries, blindness in children is usually caused by infectious disease and nutritional deficiencies.",0.71070224
267,In folklore ravens are birds of ill-omen and also tricksters. ,0.93572795
268,"In my dream, it's the day of my final exam and I suddenly realize I've never gone to class.",0.8334419
269,"In open or compound fractures, the broken bone has punctured the skin and produced an open wound.",0.589227
270,"In some tropical places, vanilla ice cream is topped with bananas and fresh mangos.",0.64266443
271,"In the past, they were home to battles, plots and intrigue.",0.48637316
272,"In waterbeds the mattress is filled with water, and in airbeds it is filled with air.",0.6804218
273,Industrial espionage is theft of ideas and intellectual property.,0.5035651
274,Insects have compound eyes made up of eye units facing in many directions.,0.65141433
275,It began as an effort to rediscover and imitate Greek tragic performance.,0.8086756
276,"It can be caused by heavy rain or rapid snow melt, as well as earthquakes at sea.",0.32029334
277,"It can be eaten cold and raw, in salads and other dishes, or cooked.",0.72996557
278,"It can be eaten raw in sushi or cooked by grilling, poaching or in other ways.",0.5805276
279,It can be hard to climb stairs or ride a bike in a dress.,0.2737853
280,It can have shelves and small compartments for different types of food.,0.28272492
281,"It has a flat surface and can be made of wood, plastic or metal.",0.28297782
282,It has a glass or plastic container with a rotating blade in the bottom.,0.11786464
283,"It has a green flower head and a thick, tough stalk.",0.32029215
284,"It has a pair of ivory tusks, for moving objects or digging into trees.",0.7228858
285,"It has a roof and walls to keep out cold and rain, and windows to let light in.",0.7121976
286,"It has a sweet, acid taste and contains a lot of vitamin C.",0.22737758
287,It has ear tufts that stick up like horns.,0.11541674
288,"It incorporates many of the elements of spoken theatre, such as acting, scenery, and costumes.",0.41399014
289,It is a long black tube with a flare at the bottom.,0.41757476
290,"It is a popular drink in many countries, and usually served hot.",0.5591888
291,It is a serious crime because it deprives the victim of their existence.,0.9717988
292,It is a symbol of American frontier life and humble origins.,0.5738955
293,It is generally white and people often put magnets on its surface.,0.6783963
294,It is in every beekeeper's interest to conserve local plants that produce pollen.,0.5951672
295,It is most often used to drive nails into wood.,0.7527177
296,"It is normally ceramic, but can also be made of metal or glass.",0.29220474
297,It is often drunk at breakfast from a glass.,0.33423588
298,It is propelled by the pedalling of a cyclist on the saddle.,0.6796012
299,It is the smallest and highest pitched instrument in its family.,0.6249557
300,"It is used to fry, sear and brown food.",0.26479688
301,It looked like something a professional stylist would have picked out for a formal event.,0.83766145
302,It may have drawers to store supplies and papers.,0.25926808
303,"It may have one or more rooms, as well as a kitchen and a bathroom.",0.47174633
304,It minimizes the need for upper body movements to regain lost balance while skiing.,0.53395116
305,It plays a role in almost half of all vehicle-related deaths.,0.6424352
306,It softens and changes color from green to red as it gets more ripe.,0.6024927
307,It was made with rich fabric cut in the latest style.,0.22277094
308,It was once believed that each taste bud responded to one of the four basic tastes.,0.87885135
309,It's even worse when you are submerged in the frigid waters directly beneath the huge animal.,0.93079776
310,It's unnerving to watch a polar bear stalk across floating sea ice.,0.682529
311,"Its large orange eyes are downright creepy, and look like they could pierce right through you.",0.6984369
312,Its purpose was to dominate its surroundings.,0.4265194
313,"Killing in self-defense, accidentally or in war is not considered murder.",1.3338937
314,Knives have also been used as weapons and instruments in rituals.,0.4190451
315,Large numbers of people have to migrate away from dust bowls.,0.8374836
316,Later operas branched out into different sources of stories and musical traditions.,0.46475825
317,"Later that night, with the wind shaking the house, we fell asleep huddled on the sofa.",1.0539957
318,Law school faculty often have minimal experience in actually practicing law.,0.6580208
319,"Law schools often emphasize the theoretical, with classes on topics like property law in feudal England.",1.1334282
320,Leaves of the raspberry are used fresh or dried in herbal teas.,0.83294874
321,Lentils are commonly used in Indian and Mediterranean cuisines.,0.20878366
322,Lentils are the seeds of a plant of the legume family.,0.42184076
323,Lettuce is a biennial plant often grown in temperate climates as a leaf vegetable.,0.81410027
324,Lettuce is considered fairly easy to grow and a suitable crop for beginners.,0.54301864
325,Librarians work at libraries and are experts at finding and organizing information.,0.56397545
326,Liquid produced from soybeans and coconuts is sometimes called milk.,0.4006142
327,Log cabins were used as first shelters by european settlers.,0.55329186
328,"Long ago, painters were employed more as skilled artisans than as creative artists.",0.61864775
329,Manhood is associated with masculinity and virility.,0.8950638
330,Many bees have stingers and can attack if they feel threatened.,0.7686437
331,Many cultures have rules for behavior related to feet.,0.8715097
332,Many people enjoy their ice cream flavored with local delicacies.,0.61830086
333,Many vultures have a bald head without feathers for losing heat.,0.6651286
334,Many were afraid of heights.,0.45711663
335,"Men differ from women in height, weight, and body structure.",0.8520296
336,Metamorphosis is the transformation of a caterpillar into a butterfly.,0.26229802
337,Milk is a white liquid produced by female mammals to feed their young.,0.48951107
338,Modern digital animation is a powerful tool for education.,0.65931284
339,"Modern knives consist of a handle and a blade, usually made of metal.",0.26593578
340,Modern opera started at the end of the sixteenth century.,0.44449055
341,"More than just the tomb of the king, pyramids represented the pride of the nation.",0.9654018
342,"Mosquito bites can spread yellow fever, malaria and other parasite diseases.",0.51503175
343,Mosquitoes have mouthparts for piercing the skin of plants and animals.,0.3106271
344,"Mosquitos are thin, small flying insects that emit a high-pitched sound.",0.32088116
345,"Most animals have complex eyes which can detect color, motion and texture.",0.49388197
346,Most doors are opened by pushing or pulling a handle after they are unlocked.,0.52925706
347,Most doors have locks to control who gets to pass through them.,0.29118803
348,Most earthquakes are caused by the release of energy in the Earth's crust.,0.33790743
349,"Most importantly, the content of the painting should reveal a glimpse of the painter's soul.",0.57581264
350,"Most lettuce leaves taste bitter, but some are bred to remove the bitterness.",0.75443923
351,Most people leave the house to work and come back at night to eat and sleep.,0.9254229
352,"Most sharks predate on fish and mammals, with powerful jaws.",1.0058045
353,"Most states have instituted lotteries, and many have casinos as well.",0.9583018
354,Mountaineers are people who climb or hike up mountains.,0.5593052
355,Mountains rise higher than hills and sometimes have snow at the top.,0.26112133
356,Mowing the lawn is a long task and it has taught me patience.,0.8571596
357,Much of their training is conducted underwater.,0.40003154
358,Mugs can be plain or have drawings imprinted or carved on them.,0.4657398
359,Murder is the unlawful killing of another human being with intent.,1.0069362
360,My friends were sick of watching me gamble my savings away.,0.6497022
361,"My heart would race for no reason, and I even felt dizzy at times.",0.27667877
362,"My sense of taste isn't very good, so I tend to eat foods with very strong flavors.",0.99804837
363,My skis were nowhere to be found and my poles were lodged in a snow drift up the hill.,0.597851
364,New ear piercings can become infected if they're not carefully cleaned.,0.39601493
365,New ski designs and stiffer boots let skiers turn more quickly.,0.80680466
366,Newborn animals must be fed milk before they can eat solid food.,0.31338504
367,No one really knows exactly how a taste gets from your mouth to your brain.,0.5418795
368,"Now that computers are more affordable and widespread, computer graphics have entered the mainstream art world.",0.7238498
369,"Once they're comfortable with that, they can begin using ropes to safely climb vertical rock faces.",0.6277404
370,"One astronaut loosened the bolts on the pipe, while the other fitted the replacement part into place.",0.9992134
371,"One keyboard is used for individual notes, the other for chords.",0.5902523
372,"One person may be devastated by unemployment, while another may find working fulltime stressful.",1.0942036
373,Opera is an art form in which singers and musicians perform a play that combines words and music.,0.54351765
374,Orange juice is a drink made from the liquid in orange pulp.,0.56790763
375,"Other astronauts are trained as doctors, engineers, and scientists, who can run experiments in space.",0.9280181
376,Other types of doors can slide or consist of a revolving chamber.,0.35815552
377,Others speculate that ramps zigzagged up the exterior walls of the pyramid.,0.17477925
378,Our tower rooms had an incredible but slightly scary view.,0.87277526
379,"Over the past four decades, the cost of legal education has gone up relentlessly.",0.5677762
380,"Over the past generation, there has been a dramatic expansion of legalized gambling.",0.81130165
381,"Overhead, giant paws set down on the ice as the polar bear pursued its prey.",1.2092375
382,"Parrots have brightly-colored feathers and a sharp, curved beak.",0.15708354
383,"Participants then assigned each dream to a category, such as a flying dream, a bad dream, or a nightmare.",1.1896714
384,Passengers or cargo enter trains from a platform next to the line.,0.71222126
385,Patients are faced with the pain of the break and the difficult process of healing.,0.5238676
386,"Peaches are sweet and delicate, and must be harvested after ripening.",0.7959833
387,"Peaches have a large, red-brown stone inside which contains the seed.",0.30211297
388,"People also use their feet to kick, in both fighting and sports.",0.57286245
389,People can go to public libraries and borrow books to take home for several weeks.,0.455166
390,People go to hospitals to be healed when they are sick or injured.,0.5946277
391,"People often put carpets on a floor, for comfort and to dampen noise.",0.486683
392,"People set cutlery, plates and food on a table to eat a meal together.",0.866425
393,"People use bicycles for transportation, recreation and racing.",0.40554467
394,"People use their feet when walking, running or standing straight.",0.4515519
395,Performances are typically given in an opera house and accompanied by an orchestra.,0.28175756
396,Pharmacists are increasingly involved in preventive care.,0.015403169
397,Pharmacists are often a good source of information about public health.,0.5926173
398,Pharmacists dispense prescription drugs to patients and offer advice about the safe use of medications.,1.1238275
399,Pharmacists must have professional degrees and pass two exams in order to be licensed.,0.73190373
400,"Physics, chemistry and biology are classic examples of sciences.",0.63770604
401,"Piranhas are small, ferocious fish that live in South American rivers.",0.5495052
402,Piranhas have very sharp teeth and are opportunistic carnivores.,0.94622284
403,"Plants, animals and people must drink water in order to live.",0.5761888
404,Polar bears are one of the few animals that will attack people for reasons other than fear or confusion.,0.7497744
405,Pop-up toasters toast the bread placed in a slot and eject it once done.,1.1815602
406,Pressing a piano key causes a felt-tipped hammer to hit a vibrating steel string.,0.6053308
407,Primates usually have four fingers and a thumb on each hand.,0.68904376
408,Private law school tuition has increased by a factor of four since the 1970s.,0.51131135
409,Professors focus on writing law review articles for prestigious journals.,0.73339367
410,Proper use of ski poles improves their balance and adds flair to their skiing.,0.8470834
411,"Rain is water that falls from clouds in the sky, which are condensed vapor.",0.6573518
412,Raspberries are eaten by themselves or cooked with sugar into jam.,0.9013898
413,"Ravens feed on carrion, insects, berries or small animals. ",0.2676739
414,Remember that it's your reaction to stress that determines if it will be harmful or beneficial.,1.1833948
415,Research does suggest that vivid and engaging digital imagery can be effective in the classroom.,0.627985
416,"Retaining walls provide a barrier to movement of earth, stone or water.",1.109326
417,"Rifles are used in hunting and shooting sports, sometimes with scopes.",0.7901417
418,Rope and bolts are the only equipment used.,0.38714346
419,Salmon flesh is orange or red and has high protein content and a nice taste.,0.8844759
420,Salmon is a fish that migrates from fresh water to the ocean and back to spawn.,0.66868806
421,"Salmon is the most common farmed fish, though it can also be caught in the wild.",0.3953174
422,"Saws are used extensively in forestry, construction, carpentry and medicine.",0.37756667
423,"Saws can be worked by hand, or powered by an electric motor or gas engine.",0.26625174
424,Scientists now think that a single taste bud can be sensitive to all of the basic tastes.,0.43900773
425,Scientists publish their research in journals and conferences.,0.38226283
426,Scientists think the process begins when a molecule of food touches a taste bud cell.,0.6320966
427,Scientists use several methods to look for evidence of ancient hurricanes.,0.6743776
428,Scissors are a two-bladed instrument used for cutting.,0.1348725
429,Screwdrivers can also be used to remove screws after they are inserted.,0.37865102
430,"Scrubbing a wound with soap or alcohol delays healing, which increases the risk of infection.",0.88283867
431,Seats are fixed chairs located in vehicles or in places like cinemas.,0.8265296
432,Seeing the internal structures in an animation on a screen is much clearer than squinting at X-rays.,1.3256211
433,"Sharks have streamlined bodies, with a large dorsal fin.",0.67314214
434,Sharks have very keen senses and can detect electrical fields.,0.7646744
435,"She had no visual distractions, so she could concentrate more fully on her music.",0.6921579
436,She has to execute the brush strokes with skill.,0.21836054
