English Sentence,af,nl,fa,fr,lt,no,ro,es,ta,tr,vi,mr
A car can be powered by a gasoline or electric engine.,'n Motor kan deur 'n petrol- of elektriese enjin aangedryf word.,Een auto kan worden aangedreven door een benzinemotor of een elektromotor.,یک ماشین می تواند با موتور بنزینی یا الکتریکی حرکت کند.,Une voiture peut être propulsée par un moteur à essence ou électrique.,Automobilis gali būti varomas benzininiu arba elektriniu varikliu.,En bil kan drives av en bensin- eller elektrisk motor.,O mașină poate fi alimentată de un motor pe benzină sau electric.,Un automóvil puede funcionar con un motor de gasolina o eléctrico.,ஒரு காரை பெட்ரோல் அல்லது மின்சார எஞ்சின் மூலம் இயக்க முடியும்.,Bir araba benzinli veya elektrikli motorla çalıştırılabilir.,Một chiếc ô tô có thể chạy bằng động cơ xăng hoặc động cơ điện.,कार गॅसोलीन किंवा इलेक्ट्रिक इंजिनद्वारे चालविली जाऊ शकते.
A carpenter is an artist or manual laborer who works with wood.,'n Skrynwerker is 'n kunstenaar of handearbeider wat met hout werk.,Een timmerman is een kunstenaar of handarbeider die met hout werkt.,نجار هنرمند یا کارگری است که با چوب کار می کند.,Un charpentier est un artiste ou un ouvrier manuel qui travaille le bois.,"Dailidė yra menininkas arba rankų darbo darbuotojas, dirbantis su medžiu.",En snekker er en kunstner eller håndarbeider som jobber med tre.,Un tâmplar este un artist sau muncitor manual care lucrează cu lemnul.,Un carpintero es un artista o trabajador manual que trabaja con madera.,ஒரு தச்சன் என்பது ஒரு கலைஞர் அல்லது கையால் வேலை செய்யும் ஒரு தொழிலாளி.,"Marangoz, ahşapla çalışan bir sanatçı veya işçidir.",Thợ mộc là một nghệ sĩ hoặc người lao động chân tay làm việc với gỗ.,सुतार हा कलाकार किंवा अंगमेहनत करणारा कामगार असतो जो लाकडावर काम करतो.
A castle could easily control lands within a day's walk.,'n Kasteel kon maklik lande binne 'n dag se stap beheer.,Een kasteel kon gemakkelijk een gebied binnen een dag lopen bestrijken.,یک قلعه می تواند به راحتی زمین هایی را در فاصله یک روز پیاده روی کنترل کند.,Un château pourrait facilement contrôler des terres à une journée de marche.,Pilis galėtų lengvai valdyti žemes per dieną pėsčiomis.,Et slott kan enkelt kontrollere landområder innen en dags gange.,Un castel ar putea controla cu ușurință pământurile la o zi de mers pe jos.,Un castillo podría controlar fácilmente tierras a un día de caminata.,ஒரு கோட்டை ஒரு நாள் நடைப்பயணத்தில் நிலங்களை எளிதில் கட்டுப்படுத்த முடியும்.,"Bir kale, bir günlük yürüyüş mesafesindeki toprakları rahatlıkla kontrol edebilir.",Một lâu đài có thể dễ dàng kiểm soát đất đai chỉ trong một ngày đi bộ.,एक वाडा एका दिवसाच्या चालत जमिनीवर सहज नियंत्रण ठेवू शकतो.
A chair is a piece of furniture designed for people to sit on.,'n Stoel is 'n meubelstuk wat ontwerp is vir mense om op te sit.,Een stoel is een meubelstuk dat ontworpen is om op te zitten.,صندلی مبلمانی است که برای نشستن افراد طراحی شده است.,Une chaise est un meuble conçu pour que les gens s'assoient.,"Kėdė yra baldas, skirtas žmonėms sėdėti.",En stol er et møbel designet for folk å sitte på.,Un scaun este o piesă de mobilier concepută pe care oamenii să stea.,Una silla es un mueble diseñado para que la gente se siente.,நாற்காலி என்பது மக்கள் உட்காருவதற்காக வடிவமைக்கப்பட்ட ஒரு தளபாடமாகும்.,"Sandalye, insanların oturması için tasarlanmış bir mobilya parçasıdır.",Ghế là một đồ nội thất được thiết kế để mọi người ngồi.,खुर्ची हा फर्निचरचा एक तुकडा आहे ज्यावर लोक बसू शकतात.
A clarinet is a woodwind musical instrument.,'n Klarinet is 'n houtblaasmusiekinstrument.,Een klarinet is een houtblaasinstrument.,کلارینت یک ساز موسیقی بادی چوبی است.,Une clarinette est un instrument de musique à vent.,Klarnetas yra medinis pučiamasis muzikos instrumentas.,En klarinett er et treblåseinstrument.,Un clarinet este un instrument muzical de suflat din lemn.,Un clarinete es un instrumento musical de viento de madera.,கிளாரினெட் என்பது வூட்விண்ட் இசைக்கருவி.,"Klarnet, üflemeli bir müzik aletidir.",Kèn clarinet là một loại nhạc cụ hơi bằng gỗ.,सनई हे वुडविंड वाद्य आहे.
A cod is a fish that lives in the colder areas of the Atlantic.,'n Kabeljou is 'n vis wat in die kouer gebiede van die Atlantiese Oseaan leef.,Kabeljauw is een vis die leeft in de koudere delen van de Atlantische Oceaan.,ماهی کاد ماهی است که در مناطق سردتر اقیانوس اطلس زندگی می کند.,La morue est un poisson qui vit dans les zones les plus froides de l’Atlantique.,"Menkė yra žuvis, gyvenanti šaltesnėse Atlanto vietose.",En torsk er en fisk som lever i de kaldere områdene i Atlanterhavet.,Codul este un pește care trăiește în zonele mai reci ale Atlanticului.,El bacalao es un pez que vive en las zonas más frías del Atlántico.,காட் என்பது அட்லாண்டிக் கடலின் குளிர்ந்த பகுதிகளில் வாழும் ஒரு மீன்.,"Morina, Atlas Okyanusu'nun soğuk bölgelerinde yaşayan bir balıktır.",Cá tuyết là loài cá sống ở những vùng lạnh hơn của Đại Tây Dương.,कॉड हा एक मासा आहे जो अटलांटिकच्या थंड भागात राहतो.
A convicted murderer is often given a life sentence or the death penalty.,’n Veroordeelde moordenaar word dikwels lewenslange tronkstraf of die doodstraf opgelê.,Een veroordeelde moordenaar krijgt vaak een levenslange gevangenisstraf of de doodstraf.,یک قاتل محکوم اغلب به حبس ابد یا اعدام محکوم می شود.,Un meurtrier reconnu coupable est souvent condamné à la prison à vie ou à la peine de mort.,Nuteistam žmogžudžiui dažnai skiriama iki gyvos galvos arba mirties bausmė.,En dømt drapsmann får ofte livstidsdom eller dødsstraff.,Un criminal condamnat primește adesea o condamnare pe viață sau pedeapsa cu moartea.,A un asesino convicto a menudo se le aplica una sentencia de cadena perpetua o la pena de muerte.,ஒரு கொலையாளிக்கு பெரும்பாலும் ஆயுள் தண்டனை அல்லது மரண தண்டனை வழங்கப்படும்.,Hüküm giymiş bir katile çoğu zaman müebbet hapis veya idam cezası verilir.,Kẻ giết người bị kết án thường bị tuyên án chung thân hoặc tử hình.,दोषी ठरलेल्या खुन्याला अनेकदा जन्मठेपेची किंवा मृत्युदंडाची शिक्षा दिली जाते.
A cooperative is a farm where many farmers share the land and equipment.,'n Koöperasie is 'n plaas waar baie boere die grond en toerusting deel.,Een coöperatie is een boerderij waar meerdere boeren het land en de machines delen.,تعاونی مزرعه ای است که در آن بسیاری از کشاورزان زمین و تجهیزات را به اشتراک می گذارند.,Une coopérative est une ferme où plusieurs agriculteurs partagent la terre et le matériel.,"Kooperatyvas yra ūkis, kuriame daug ūkininkų dalijasi žeme ir įranga.",Et andelslag er en gård hvor mange bønder deler jord og utstyr.,O cooperativă este o fermă în care mulți fermieri împart terenul și echipamentele.,Una cooperativa es una granja donde muchos agricultores comparten la tierra y el equipo.,கூட்டுறவு என்பது பல விவசாயிகள் நிலத்தையும் உபகரணங்களையும் பகிர்ந்து கொள்ளும் பண்ணை.,"Kooperatif, birçok çiftçinin araziyi ve ekipmanı paylaştığı bir çiftliktir.",Hợp tác xã là một trang trại nơi nhiều nông dân cùng chia sẻ đất đai và thiết bị.,सहकारी एक शेत आहे जिथे बरेच शेतकरी जमीन आणि उपकरणे सामायिक करतात.
A cubicle consists of a desk surrounded by partitions on three sides.,'n Hokkie bestaan ​​uit 'n lessenaar omring deur afskortings aan drie kante.,Een cubicle bestaat uit een bureau dat aan drie zijden omgeven is door scheidingswanden.,یک اتاقک از یک میز تشکیل شده است که از سه طرف توسط پارتیشن احاطه شده است.,Une cabine est constituée d'un bureau entouré de cloisons sur trois côtés.,"Kabiną sudaro stalas, iš trijų pusių apsuptas pertvaromis.",Et avlukke består av et skrivebord omgitt av skillevegger på tre sider.,O cabină este formată dintr-un birou înconjurat de pereți despărțitori pe trei laturi.,Un cubículo consta de un escritorio rodeado de divisiones en tres lados.,ஒரு க்யூபிகல் மூன்று பக்கங்களிலும் பகிர்வுகளால் சூழப்பட்ட ஒரு மேசையைக் கொண்டுள்ளது.,"Bir bölme, üç tarafı bölmelerle çevrili bir masadan oluşur.",Mỗi ô làm việc bao gồm một chiếc bàn được bao quanh bởi các vách ngăn ở ba phía.,क्यूबिकलमध्ये तीन बाजूंनी विभाजनांनी वेढलेले डेस्क असते.
A cyclone can move inland and seriously damage property.,’n Sikloon kan binneland toe beweeg en eiendom ernstig beskadig.,Een cycloon kan landinwaarts trekken en ernstige schade aan eigendommen veroorzaken.,یک طوفان می تواند به داخل خاک حرکت کند و به اموال آسیب جدی برساند.,Un cyclone peut se déplacer vers l’intérieur des terres et endommager gravement les biens.,Ciklonas gali judėti į sausumą ir rimtai sugadinti turtą.,En syklon kan bevege seg innover landet og skade eiendommen alvorlig.,Un ciclon se poate deplasa spre interior și poate deteriora grav proprietatea.,Un ciclón puede desplazarse tierra adentro y causar graves daños materiales.,ஒரு சூறாவளி உள்நாட்டில் நகர்ந்து சொத்துக்களை கடுமையாக சேதப்படுத்தும்.,Bir kasırga iç kesimlere doğru hareket edebilir ve ciddi maddi hasara yol açabilir.,Lốc xoáy có thể di chuyển vào đất liền và gây thiệt hại nghiêm trọng về tài sản.,चक्रीवादळ अंतर्देशात जाऊ शकते आणि मालमत्तेचे गंभीर नुकसान करू शकते.
A desert is a natural environment where almost no rain falls.,'n Woestyn is 'n natuurlike omgewing waar byna geen reën val nie.,Een woestijn is een natuurlijke omgeving waar vrijwel geen regen valt.,کویر یک محیط طبیعی است که تقریباً در آن باران نمی بارد.,Un désert est un environnement naturel où il ne tombe presque pas de pluie.,"Dykuma yra natūrali aplinka, kurioje beveik nelyja.",En ørken er et naturlig miljø hvor det nesten ikke faller regn.,Un deșert este un mediu natural în care aproape nu plouă.,Un desierto es un entorno natural donde casi no llueve.,பாலைவனம் என்பது கிட்டத்தட்ட மழை பெய்யாத ஒரு இயற்கை சூழல்.,"Çöl, hemen hemen hiç yağışın düşmediği doğal bir ortamdır.",Sa mạc là môi trường tự nhiên gần như không có mưa.,वाळवंट हे एक नैसर्गिक वातावरण आहे जिथे जवळजवळ पाऊस पडत नाही.
"A desk is a piece of furniture used for working at, sometimes with a computer.","'n Lessenaar is 'n meubelstuk wat gebruik word om by te werk, soms met 'n rekenaar.","Een bureau is een meubelstuk waaraan gewerkt kan worden, soms met een computer.",میز یک تکه مبلمان است که برای کار در آن، گاهی اوقات با کامپیوتر استفاده می شود.,"Un bureau est un meuble utilisé pour travailler, parfois avec un ordinateur.","Rašomasis stalas yra baldas, naudojamas darbui, kartais su kompiuteriu.","Et skrivebord er et møbel som brukes til å jobbe ved, noen ganger med en datamaskin.","Un birou este o piesă de mobilier folosită pentru a lucra la, uneori cu un computer.","Un escritorio es un mueble que se utiliza para trabajar, a veces con una computadora.",மேசை என்பது சில நேரங்களில் கணினியுடன் வேலை செய்யப் பயன்படும் தளபாடங்கள் ஆகும்.,"Masa, bazen bilgisayarla birlikte çalışmak için kullanılan bir mobilya parçasıdır.","Bàn làm việc là một đồ nội thất dùng để làm việc, đôi khi có gắn máy tính.","डेस्क हा फर्निचरचा एक तुकडा आहे ज्यावर काम करण्यासाठी वापरले जाते, कधीकधी संगणकासह."
A door is a movable barrier to entrance or exit from an enclosed area.,'n Deur is 'n beweegbare versperring vir ingang of uitgang van 'n geslote area.,Een deur is een beweegbare barrière die de toegang tot of uitgang van een afgesloten ruimte vergemakkelijkt.,درب یک مانع متحرک برای ورود یا خروج از یک منطقه محصور است.,Une porte est une barrière mobile permettant d'entrer ou de sortir d'un espace clos.,Durys yra kilnojama kliūtis įėjimui arba išėjimui iš uždaros erdvės.,En dør er en flyttbar barriere for inngang eller utgang fra et lukket område.,O ușă este o barieră mobilă la intrarea sau ieșirea dintr-o zonă închisă.,Una puerta es una barrera móvil para entrar o salir de un área cerrada.,ஒரு கதவு என்பது ஒரு மூடப்பட்ட பகுதியிலிருந்து நுழைவதற்கு அல்லது வெளியேறுவதற்கு நகரக்கூடிய தடையாகும்.,"Kapı, kapalı bir alana giriş veya çıkışı engelleyen hareketli bir bariyerdir.",Cửa là rào cản di động để ra vào một khu vực kín.,प्रवेशद्वार किंवा बंदिस्त क्षेत्रातून बाहेर पडण्यासाठी दरवाजा हा जंगम अडथळा आहे.
A dress is a piece of clothing that women sometimes wear.,'n Rok is 'n kledingstuk wat vroue soms dra.,Een jurk is een kledingstuk dat vrouwen soms dragen.,لباس به لباسی گفته می شود که گاه زنان می پوشند.,Une robe est un vêtement que les femmes portent parfois.,"Suknelė – tai drabužis, kurį kartais vilki moterys.",En kjole er et klesplagg som kvinner noen ganger bruker.,O rochie este o piesă vestimentară pe care o poartă uneori femeile.,Un vestido es una prenda de vestir que las mujeres usan a veces.,ஆடை என்பது பெண்கள் சில நேரங்களில் அணியும் ஆடை.,"Elbise, kadınların bazen giydiği bir giysi parçasıdır.",Váy là loại trang phục mà phụ nữ đôi khi mặc.,ड्रेस हा कपड्यांचा एक तुकडा आहे जो स्त्रिया कधीकधी परिधान करतात.
"A dress is like a shirt attached to a long, matching skirt.","'n Rok is soos 'n hemp wat aan 'n lang, bypassende romp geheg is.",Een jurk is een soort shirt dat aan een bijpassende lange rok vastzit.,لباس مانند یک پیراهن است که به یک دامن بلند و هماهنگ چسبیده است.,Une robe est comme une chemise attachée à une longue jupe assortie.,"Suknelė – tarsi marškiniai, prisegti prie ilgo, derančio sijono.","En kjole er som en skjorte festet til et langt, matchende skjørt.","O rochie este ca o cămașă atașată de o fustă lungă, asortată.",Un vestido es como una camisa unida a una falda larga a juego.,"ஒரு ஆடை நீண்ட, பொருந்தக்கூடிய பாவாடையுடன் இணைக்கப்பட்ட சட்டை போன்றது.","Elbise, uzun ve uyumlu bir eteğin üzerine giyilen bir gömlek gibidir.",Váy giống như một chiếc áo sơ mi được may kèm với một chiếc váy dài cùng tông.,"ड्रेस हा लांब, मॅचिंग स्कर्टला जोडलेल्या शर्टसारखा असतो."
"A dress is usually worn at formal occasions, such as a wedding or a dance.","'n Rok word gewoonlik by formele geleenthede gedra, soos 'n troue of 'n dans.","Een jurk wordt meestal gedragen bij formele gelegenheden, zoals een bruiloft of een dansfeest.",یک لباس معمولاً در مجالس رسمی مانند عروسی یا رقص پوشیده می شود.,"Une robe est généralement portée lors d'occasions formelles, comme un mariage ou un bal.","Suknelė dažniausiai dėvima iškilmingomis progomis, tokiomis kaip vestuvės ar šokiai.","En kjole brukes vanligvis ved formelle anledninger, for eksempel et bryllup eller en dans.","O rochie este de obicei purtată la ocazii formale, cum ar fi o nuntă sau un dans.","El vestido se suele usar en ocasiones formales, como una boda o un baile.",ஒரு ஆடை பொதுவாக திருமணம் அல்லது நடனம் போன்ற முறையான சந்தர்ப்பங்களில் அணியப்படுகிறது.,Elbise genellikle düğün veya dans gibi resmi ortamlarda giyilir.,"Váy thường được mặc trong những dịp trang trọng, chẳng hạn như đám cưới hoặc khiêu vũ.","एक ड्रेस सहसा औपचारिक प्रसंगी परिधान केला जातो, जसे की लग्न किंवा नृत्य."
A drought is a persistent shortage of the water supply caused by lack of rain.,'n Droogte is 'n aanhoudende tekort aan watertoevoer wat veroorsaak word deur 'n gebrek aan reën.,Droogte is een aanhoudend tekort aan water door een gebrek aan regen.,خشکسالی کمبود مداوم منابع آب ناشی از کمبود باران است.,Une sécheresse est une pénurie persistante d’approvisionnement en eau causée par un manque de pluie.,"Sausra yra nuolatinis vandens tiekimo trūkumas, kurį sukelia lietaus trūkumas.",En tørke er en vedvarende mangel på vannforsyning forårsaket av mangel på regn.,Seceta este o lipsă persistentă a alimentării cu apă cauzată de lipsa ploii.,Una sequía es una escasez persistente del suministro de agua causada por la falta de lluvia.,வறட்சி என்பது மழையின்மையால் ஏற்படும் தண்ணீர் பற்றாக்குறையாகும்.,"Kuraklık, yağış eksikliğinden kaynaklanan sürekli su temini sıkıntısıdır.",Hạn hán là tình trạng thiếu nước liên tục do thiếu mưa.,दुष्काळ म्हणजे पावसाअभावी होणारी पाणीपुरवठ्याची सततची कमतरता.
A farm is land used to grow plants or raise animals for food.,'n Plaas is grond wat gebruik word om plante te kweek of diere groot te maak vir voedsel.,Een boerderij is land dat gebruikt wordt om planten te verbouwen of dieren te houden voor consumptie.,مزرعه زمینی است که برای پرورش گیاهان یا پرورش حیوانات برای غذا استفاده می شود.,Une ferme est une terre utilisée pour cultiver des plantes ou élever des animaux pour se nourrir.,"Ūkis – tai žemė, kurioje auginami augalai arba auginami gyvūnai maistui.",En gård er land som brukes til å dyrke planter eller oppdra dyr til mat.,O fermă este un teren folosit pentru a cultiva plante sau a crește animale pentru hrană.,Una granja es un terreno utilizado para cultivar plantas o criar animales para alimentación.,பண்ணை என்பது தாவரங்களை வளர்க்க அல்லது உணவுக்காக விலங்குகளை வளர்க்க பயன்படும் நிலம்.,"Çiftlik, yiyecek amacıyla bitki yetiştirmek veya hayvan beslemek için kullanılan arazidir.",Trang trại là đất dùng để trồng cây hoặc chăn nuôi để lấy thực phẩm.,शेत म्हणजे वनस्पती वाढवण्यासाठी किंवा अन्नासाठी प्राणी वाढवण्यासाठी वापरली जाणारी जमीन.
